checkpoint_name,train_mode,n_mem_tokens,num_samples,num_recovered_texts,avg_loss,avg_accuracy,overall_accuracy,avg_bleu,avg_bleu1,avg_bleu2,avg_bleu3,avg_bleu4,avg_rougeL,metric_source,checkpoint_path
llama1b_to_llama1b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260417_213634,encoder_converter,8,1000,1000,1.555369,0.604664,0.604664,0.141006,0.520271,0.196058,0.095606,0.051687,0.322936,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama1b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260417_213634
llama1b_to_llama1b_to_qwen3b_converter_only_mem16_len128_100000samples_20260424_085731,converter_only,16,1000,1000,2.432000,0.478125,0.478125,0.040214,0.317153,0.073793,0.023167,0.008926,0.162900,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama1b_to_qwen3b_converter_only_mem16_len128_100000samples_20260424_085731
llama1b_to_llama1b_to_qwen3b_converter_only_mem32_len128_100000samples_20260520_104651,converter_only,32,1000,1000,2.629498,0.452547,0.452547,0.027059,0.270780,0.053708,0.014937,0.006615,0.143250,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama1b_to_qwen3b_converter_only_mem32_len128_100000samples_20260520_104651
llama1b_to_llama1b_to_qwen3b_converter_only_mem8_len128_100000samples_20260417_222041,converter_only,8,1000,1000,2.567283,0.461289,0.461289,0.031593,0.306534,0.062160,0.017297,0.005764,0.147035,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama1b_to_qwen3b_converter_only_mem8_len128_100000samples_20260417_222041
llama1b_to_llama1b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260424_091547,encoder_converter,16,1000,1000,0.990877,0.733781,0.733781,0.277947,0.642968,0.334019,0.211855,0.148871,0.488722,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama1b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260424_091547
llama1b_to_llama1b_to_qwen3b_encoder_converter_mem32_len128_100000samples_20260520_110429,encoder_converter,32,1000,1000,0.869821,0.765148,0.765148,0.305926,0.654592,0.364937,0.242142,0.174984,0.525265,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama1b_to_qwen3b_encoder_converter_mem32_len128_100000samples_20260520_110429
llama1b_to_llama1b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260417_223704,encoder_converter,8,1000,1000,1.869781,0.549914,0.549914,0.093641,0.450882,0.143158,0.059227,0.030340,0.262447,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama1b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260417_223704
llama1b_to_llama1b_to_qwen7b_converter_only_mem32_len128_100000samples_20260410_220527,converter_only,32,1000,1000,0.101212,0.973000,0.973000,0.896763,0.953357,0.908402,0.879370,0.855183,0.945336,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama1b_to_qwen7b_converter_only_mem32_len128_100000samples_20260410_220527
llama1b_to_llama1b_to_qwen7b_converter_only_mem8_len128_100000samples_20260417_232356,converter_only,8,1000,1000,1.016190,0.726562,0.726562,0.238950,0.606124,0.303430,0.178084,0.115037,0.475616,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama1b_to_qwen7b_converter_only_mem8_len128_100000samples_20260417_232356
llama1b_to_llama1b_to_qwen7b_encoder_converter_mem32_len128_100000samples_20260410_220527,encoder_converter,32,1000,1000,0.047877,0.987867,0.987867,0.943483,0.976270,0.948606,0.933232,0.919416,0.970572,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama1b_to_qwen7b_encoder_converter_mem32_len128_100000samples_20260410_220527
llama1b_to_llama1b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260417_234557,encoder_converter,8,1000,1000,0.751364,0.786367,0.786367,0.327292,0.685347,0.392195,0.258872,0.185775,0.562633,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama1b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260417_234557
llama1b_to_llama3b_to_llama1b_converter_only_mem16_len128_100000samples_20260424_113702,converter_only,16,1000,1000,0.266563,0.923539,0.923539,0.655850,0.856302,0.693138,0.601160,0.539071,0.817630,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama1b_converter_only_mem16_len128_100000samples_20260424_113702
llama1b_to_llama3b_to_llama1b_converter_only_mem32_len128_100000samples_20260411_000339,converter_only,32,1000,1000,0.051026,0.987031,0.987031,0.941728,0.974892,0.947736,0.931267,0.916094,0.970676,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama1b_converter_only_mem32_len128_100000samples_20260411_000339
llama1b_to_llama3b_to_llama1b_converter_only_mem8_len128_100000samples_20260418_015757,converter_only,8,1000,1000,1.117469,0.710984,0.710984,0.207924,0.627871,0.283900,0.146646,0.085386,0.466143,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama1b_converter_only_mem8_len128_100000samples_20260418_015757
llama1b_to_llama3b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260424_115140,encoder_converter,16,1000,1000,0.153329,0.956242,0.956242,0.778244,0.908195,0.802130,0.742409,0.699499,0.881973,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260424_115140
llama1b_to_llama3b_to_llama1b_encoder_converter_mem32_len128_100000samples_20260411_000339,encoder_converter,32,1000,1000,0.024925,0.993852,0.993852,0.960324,0.984317,0.965670,0.953081,0.941460,0.983722,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama1b_encoder_converter_mem32_len128_100000samples_20260411_000339
llama1b_to_llama3b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260418_021049,encoder_converter,8,1000,1000,0.846707,0.770617,0.770617,0.282276,0.690428,0.360827,0.212565,0.138673,0.530367,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260418_021049
llama1b_to_llama3b_to_llama3b_converter_only_mem16_len128_100000samples_20260424_123735,converter_only,16,1000,1000,0.011058,0.997008,0.997008,0.981510,0.993326,0.983492,0.977575,0.972366,0.990411,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama3b_converter_only_mem16_len128_100000samples_20260424_123735
llama1b_to_llama3b_to_llama3b_converter_only_mem32_len128_100000samples_20260411_004659,converter_only,32,1000,1000,0.002021,0.999563,0.999563,0.997426,0.997864,0.997579,0.997286,0.996985,0.997869,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama3b_converter_only_mem32_len128_100000samples_20260411_004659
llama1b_to_llama3b_to_llama3b_converter_only_mem8_len128_100000samples_20260418_025152,converter_only,8,1000,1000,0.150650,0.956773,0.956773,0.737344,0.913355,0.767299,0.690244,0.639872,0.873061,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama3b_converter_only_mem8_len128_100000samples_20260418_025152
llama1b_to_llama3b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260424_125640,encoder_converter,16,1000,1000,0.017737,0.995039,0.995039,0.969862,0.987808,0.973538,0.963713,0.956326,0.986837,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260424_125640
llama1b_to_llama3b_to_llama3b_encoder_converter_mem32_len128_100000samples_20260411_004659,encoder_converter,32,1000,1000,0.003383,0.999148,0.999148,0.994057,0.996866,0.994271,0.993175,0.992049,0.997327,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama3b_encoder_converter_mem32_len128_100000samples_20260411_004659
llama1b_to_llama3b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260418_030814,encoder_converter,8,1000,1000,0.179468,0.948445,0.948445,0.727122,0.908737,0.756465,0.677370,0.625150,0.859989,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260418_030814
llama1b_to_llama3b_to_llama8b_converter_only_mem16_len128_100000samples_20260424_134954,converter_only,16,1000,1000,0.024756,0.992469,0.992469,0.957488,0.982638,0.961990,0.949227,0.939093,0.980286,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama8b_converter_only_mem16_len128_100000samples_20260424_134954
llama1b_to_llama3b_to_llama8b_converter_only_mem32_len128_100000samples_20260411_013909,converter_only,32,1000,1000,0.006536,0.998219,0.998219,0.989218,0.994236,0.990420,0.987546,0.984840,0.993458,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama8b_converter_only_mem32_len128_100000samples_20260411_013909
llama1b_to_llama3b_to_llama8b_converter_only_mem8_len128_100000samples_20260418_035427,converter_only,8,1000,1000,0.250613,0.925766,0.925766,0.612036,0.855161,0.653317,0.548278,0.483545,0.791022,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama8b_converter_only_mem8_len128_100000samples_20260418_035427
llama1b_to_llama3b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260424_141552,encoder_converter,16,1000,1000,0.029411,0.991203,0.991203,0.952220,0.981444,0.957429,0.943098,0.931642,0.978389,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260424_141552
llama1b_to_llama3b_to_llama8b_encoder_converter_mem32_len128_100000samples_20260411_013909,encoder_converter,32,1000,1000,0.005360,0.998383,0.998383,0.993832,0.996357,0.994540,0.992940,0.991565,0.996186,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama8b_encoder_converter_mem32_len128_100000samples_20260411_013909
llama1b_to_llama3b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260418_041813,encoder_converter,8,1000,1000,0.316410,0.905969,0.905969,0.543229,0.827240,0.590206,0.471732,0.403291,0.739518,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260418_041813
llama1b_to_llama3b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260424_184748,converter_only,16,1000,1000,0.115175,0.965938,0.965938,0.847110,0.930884,0.865588,0.821150,0.788164,0.920680,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260424_184748
llama1b_to_llama3b_to_mistral7binstruct_converter_only_mem32_len128_100000samples_20260411_051339,converter_only,32,1000,1000,0.047075,0.985781,0.985781,0.933897,0.968902,0.942858,0.923162,0.904485,0.968723,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_mistral7binstruct_converter_only_mem32_len128_100000samples_20260411_051339
llama1b_to_llama3b_to_mistral7binstruct_converter_only_mem8_len128_100000samples_20260418_083830,converter_only,8,1000,1000,0.524861,0.850992,0.850992,0.441303,0.746844,0.490674,0.371345,0.301472,0.666114,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_mistral7binstruct_converter_only_mem8_len128_100000samples_20260418_083830
llama1b_to_llama3b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260424_191252,encoder_converter,16,1000,1000,0.068013,0.979969,0.979969,0.905591,0.958977,0.915447,0.888583,0.867283,0.953954,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260424_191252
llama1b_to_llama3b_to_mistral7binstruct_encoder_converter_mem32_len128_100000samples_20260411_051339,encoder_converter,32,1000,1000,0.022012,0.993633,0.993633,0.978229,0.988702,0.981072,0.974840,0.968723,0.987393,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_mistral7binstruct_encoder_converter_mem32_len128_100000samples_20260411_051339
llama1b_to_llama3b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260418_090317,encoder_converter,8,1000,1000,0.433866,0.873313,0.873313,0.504434,0.786405,0.559079,0.437855,0.362522,0.705394,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260418_090317
llama1b_to_llama3b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260424_151623,converter_only,16,1000,1000,1.665023,0.596625,0.596625,0.101108,0.442194,0.147421,0.064587,0.033492,0.283121,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260424_151623
llama1b_to_llama3b_to_qwen1.5b_converter_only_mem32_len128_100000samples_20260411_023837,converter_only,32,1000,1000,1.320301,0.680781,0.680781,0.160465,0.467096,0.211149,0.119686,0.069735,0.319149,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen1.5b_converter_only_mem32_len128_100000samples_20260411_023837
llama1b_to_llama3b_to_qwen1.5b_converter_only_mem8_len128_100000samples_20260418_051252,converter_only,8,1000,1000,2.638711,0.446203,0.446203,0.032253,0.313661,0.060015,0.017430,0.006187,0.144085,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen1.5b_converter_only_mem8_len128_100000samples_20260418_051252
llama1b_to_llama3b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260424_153202,encoder_converter,16,1000,1000,0.779372,0.783352,0.783352,0.358789,0.697875,0.414545,0.290049,0.218450,0.584793,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260424_153202
llama1b_to_llama3b_to_qwen1.5b_encoder_converter_mem32_len128_100000samples_20260411_023837,encoder_converter,32,1000,1000,0.265800,0.924625,0.924625,0.660332,0.847841,0.691747,0.609612,0.550324,0.812653,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen1.5b_encoder_converter_mem32_len128_100000samples_20260411_023837
llama1b_to_llama3b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260418_052713,encoder_converter,8,1000,1000,1.836850,0.558219,0.558219,0.091268,0.458877,0.145299,0.058564,0.026138,0.266287,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260418_052713
llama1b_to_llama3b_to_qwen3b_converter_only_mem16_len128_100000samples_20260424_161833,converter_only,16,1000,1000,1.616672,0.611750,0.611750,0.119100,0.457024,0.170784,0.079166,0.043116,0.305034,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen3b_converter_only_mem16_len128_100000samples_20260424_161833
llama1b_to_llama3b_to_qwen3b_converter_only_mem32_len128_100000samples_20260520_115433,converter_only,32,1000,1000,1.425891,0.655312,0.655312,0.160982,0.468109,0.205228,0.117448,0.074984,0.336093,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen3b_converter_only_mem32_len128_100000samples_20260520_115433
llama1b_to_llama3b_to_qwen3b_converter_only_mem8_len128_100000samples_20260418_061117,converter_only,8,1000,1000,2.661799,0.449359,0.449359,0.021731,0.281790,0.047275,0.010183,0.003526,0.140824,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen3b_converter_only_mem8_len128_100000samples_20260418_061117
llama1b_to_llama3b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260424_163705,encoder_converter,16,1000,1000,1.085387,0.715469,0.715469,0.240171,0.595558,0.303270,0.182147,0.119165,0.468265,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260424_163705
llama1b_to_llama3b_to_qwen3b_encoder_converter_mem32_len128_100000samples_20260520_121212,encoder_converter,32,1000,1000,0.232242,0.933937,0.933937,0.741947,0.889766,0.768060,0.699016,0.648929,0.865464,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen3b_encoder_converter_mem32_len128_100000samples_20260520_121212
llama1b_to_llama3b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260418_062757,encoder_converter,8,1000,1000,1.727168,0.577141,0.577141,0.112968,0.481560,0.172632,0.072593,0.037449,0.281904,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260418_062757
llama1b_to_llama3b_to_qwen7b_converter_only_mem16_len128_100000samples_20260424_172840,converter_only,16,1000,1000,0.377129,0.894188,0.894188,0.615539,0.832951,0.659772,0.559092,0.492299,0.788136,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen7b_converter_only_mem16_len128_100000samples_20260424_172840
llama1b_to_llama3b_to_qwen7b_converter_only_mem32_len128_100000samples_20260411_041748,converter_only,32,1000,1000,0.133964,0.963266,0.963266,0.856621,0.931643,0.874094,0.834221,0.799758,0.926085,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen7b_converter_only_mem32_len128_100000samples_20260411_041748
llama1b_to_llama3b_to_qwen7b_converter_only_mem8_len128_100000samples_20260418_071847,converter_only,8,1000,1000,1.153199,0.700023,0.700023,0.202631,0.588640,0.266640,0.145864,0.088136,0.438355,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen7b_converter_only_mem8_len128_100000samples_20260418_071847
llama1b_to_llama3b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260424_175316,encoder_converter,16,1000,1000,0.256843,0.926500,0.926500,0.705791,0.886070,0.738727,0.658859,0.602501,0.847118,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260424_175316
llama1b_to_llama3b_to_qwen7b_encoder_converter_mem32_len128_100000samples_20260411_041748,encoder_converter,32,1000,1000,0.052628,0.986648,0.986648,0.945189,0.974491,0.952260,0.935893,0.921705,0.971462,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen7b_encoder_converter_mem32_len128_100000samples_20260411_041748
llama1b_to_llama3b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260418_074138,encoder_converter,8,1000,1000,1.052335,0.718586,0.718586,0.250362,0.631846,0.317436,0.193094,0.127677,0.477162,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama3b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260418_074138
llama1b_to_llama8b_to_llama1b_converter_only_mem16_len128_100000samples_20260424_201146,converter_only,16,1000,1000,0.490980,0.864469,0.864469,0.441645,0.770748,0.501255,0.368289,0.289731,0.695774,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama8b_to_llama1b_converter_only_mem16_len128_100000samples_20260424_201146
llama1b_to_llama8b_to_llama1b_converter_only_mem32_len128_100000samples_20260411_061435,converter_only,32,1000,1000,0.078798,0.979570,0.979570,0.907497,0.961667,0.918873,0.890735,0.867136,0.959292,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama8b_to_llama1b_converter_only_mem32_len128_100000samples_20260411_061435
llama1b_to_llama8b_to_llama1b_converter_only_mem8_len128_100000samples_20260418_100400,converter_only,8,1000,1000,1.511187,0.629461,0.629461,0.135388,0.541399,0.204719,0.091920,0.047997,0.361745,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama8b_to_llama1b_converter_only_mem8_len128_100000samples_20260418_100400
llama1b_to_llama8b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260424_202637,encoder_converter,16,1000,1000,0.236109,0.932961,0.932961,0.722290,0.890236,0.751299,0.674759,0.621729,0.857579,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama8b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260424_202637
llama1b_to_llama8b_to_llama1b_encoder_converter_mem32_len128_100000samples_20260411_061435,encoder_converter,32,1000,1000,0.028655,0.993148,0.993148,0.968005,0.985272,0.971720,0.962108,0.954655,0.983628,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama8b_to_llama1b_encoder_converter_mem32_len128_100000samples_20260411_061435
llama1b_to_llama8b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260418_101739,encoder_converter,8,1000,1000,1.181007,0.694031,0.694031,0.224719,0.624100,0.294256,0.161992,0.098397,0.438209,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama8b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260418_101739
llama1b_to_llama8b_to_llama3b_converter_only_mem16_len128_100000samples_20260424_211330,converter_only,16,1000,1000,0.116193,0.966930,0.966930,0.807794,0.926726,0.825858,0.773655,0.737724,0.903560,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama8b_to_llama3b_converter_only_mem16_len128_100000samples_20260424_211330
llama1b_to_llama8b_to_llama3b_converter_only_mem32_len128_100000samples_20260414_031604,converter_only,32,1000,1000,0.014135,0.996633,0.996633,0.981582,0.991717,0.983262,0.978419,0.973456,0.992536,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama8b_to_llama3b_converter_only_mem32_len128_100000samples_20260414_031604
llama1b_to_llama8b_to_llama3b_converter_only_mem8_len128_100000samples_20260418_110356,converter_only,8,1000,1000,1.106213,0.719227,0.719227,0.204945,0.622136,0.277346,0.145888,0.088591,0.441412,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama8b_to_llama3b_converter_only_mem8_len128_100000samples_20260418_110356
llama1b_to_llama8b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260424_213237,encoder_converter,16,1000,1000,0.085709,0.976039,0.976039,0.866874,0.949913,0.879084,0.842145,0.816055,0.936698,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama8b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260424_213237
llama1b_to_llama8b_to_llama3b_encoder_converter_mem32_len128_100000samples_20260414_031604,encoder_converter,32,1000,1000,0.060042,0.990344,0.990344,0.985194,0.991745,0.987258,0.982925,0.979164,0.991341,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/llama1b_to_llama8b_to_llama3b_encoder_converter_mem32_len128_100000samples_20260414_031604
