checkpoint_name,train_mode,n_mem_tokens,num_samples,num_recovered_texts,avg_loss,avg_accuracy,overall_accuracy,avg_bleu,avg_bleu1,avg_bleu2,avg_bleu3,avg_bleu4,avg_rougeL,metric_source,checkpoint_path
gpt2_to_llama3b_to_mistral7binstruct_converter_only_mem8_len128_100000samples_20260416_162708,converter_only,8,1000,1000,0.755241,0.792539,0.792539,0.332432,0.667918,0.393557,0.268699,0.194112,0.549823,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_mistral7binstruct_converter_only_mem8_len128_100000samples_20260416_162708
gpt2_to_llama3b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260422_192441,encoder_converter,16,1000,1000,0.336520,0.903820,0.903820,0.650077,0.844941,0.687196,0.597770,0.532224,0.802070,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260422_192441
gpt2_to_llama3b_to_mistral7binstruct_encoder_converter_mem32_len128_100000samples_20260410_003547,encoder_converter,32,1000,1000,0.111851,0.969125,0.969125,0.869125,0.941428,0.888111,0.847552,0.812278,0.931040,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_mistral7binstruct_encoder_converter_mem32_len128_100000samples_20260410_003547
gpt2_to_llama3b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260416_165058,encoder_converter,8,1000,1000,0.766674,0.789672,0.789672,0.335602,0.657898,0.399648,0.272518,0.194690,0.555576,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260416_165058
gpt2_to_llama3b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260422_165614,converter_only,16,1000,1000,1.662156,0.600484,0.600484,0.092826,0.448825,0.138730,0.059930,0.029107,0.304962,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260422_165614
gpt2_to_llama3b_to_qwen1.5b_converter_only_mem32_len128_100000samples_20260409_231248,converter_only,32,1000,1000,1.871910,0.563227,0.563227,0.076160,0.398203,0.119717,0.049558,0.022212,0.229894,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen1.5b_converter_only_mem32_len128_100000samples_20260409_231248
gpt2_to_llama3b_to_qwen1.5b_converter_only_mem8_len128_100000samples_20260416_101118,converter_only,8,1000,1000,2.493523,0.460484,0.460484,0.037349,0.323499,0.071664,0.020334,0.007416,0.152042,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen1.5b_converter_only_mem8_len128_100000samples_20260416_101118
gpt2_to_llama3b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260422_170928,encoder_converter,16,1000,1000,1.458246,0.637836,0.637836,0.177707,0.517490,0.228131,0.127521,0.077009,0.396549,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260422_170928
gpt2_to_llama3b_to_qwen1.5b_encoder_converter_mem32_len128_100000samples_20260409_231248,encoder_converter,32,1000,1000,1.702527,0.591414,0.591414,0.099421,0.416989,0.145319,0.066337,0.034005,0.287290,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen1.5b_encoder_converter_mem32_len128_100000samples_20260409_231248
gpt2_to_llama3b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260416_102429,encoder_converter,8,1000,1000,2.511428,0.466883,0.466883,0.042972,0.339974,0.074161,0.024040,0.010645,0.161233,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260416_102429
