encoder,source_a,source_b,pair_ab,pair_ba,retention_ab,retention_ba,retention_abs_gap,direction_rmse_ab,direction_rmse_ba,direction_rmse_abs_gap,anchor_js_ab,anchor_js_ba,anchor_js_abs_gap,norm_gap_ab,norm_gap_ba,norm_gap_abs_gap
gpt2,llama1b,qwen3b,gpt2:llama1b->qwen3b,gpt2:qwen3b->llama1b,0.08600161946557636,0.6416272860722413,0.5556256666066649,0.07120894867694005,0.13339660898782313,0.062187660310883075,0.013296312768943608,0.021631866533425637,0.008335553764482029,3.0668027999345213,5.011175989056937,1.944373189122416
gpt2,llama8b,qwen1.5b,gpt2:llama8b->qwen1.5b,gpt2:qwen1.5b->llama8b,0.38797435610403985,0.9364162035504329,0.548441847446393,0.09014198411023244,0.027633662059088238,0.0625083220511442,0.017666658764937893,0.009116914181504399,0.008549744583433494,3.3608448606100865,5.3250227406970225,1.964177880086936
llama1b,llama8b,qwen1.5b,llama1b:llama8b->qwen1.5b,llama1b:qwen1.5b->llama8b,0.5025388855233642,0.9830352181240319,0.4804963326006677,0.09399756375933066,0.027878103239345364,0.0661194605199853,0.016635252264677547,0.008586504234699532,0.008048748029978015,3.676643352257088,5.594074920983985,1.9174315687268972
llama1b,llama1b,qwen3b,llama1b:llama1b->qwen3b,llama1b:qwen3b->llama1b,0.04451348323432261,0.5246691262812597,0.48015564304693714,0.06540185591438785,0.13099167845211923,0.06558982253773138,0.012967991511686705,0.020392890874063596,0.007424899362376891,3.335491966223344,5.574894163757563,2.2394021975342184
llama1b,llama8b,qwen3b,llama1b:llama8b->qwen3b,llama1b:qwen3b->llama8b,0.5518772763163878,0.9925502742922382,0.44067299797585036,0.06814025720814243,0.02837201084184926,0.03976824636629317,0.011683442055073101,0.006328339302854147,0.005355102752218954,3.600185225950554,6.0325391329824924,2.4323539070319384
llama1b,qwen3b,qwen7b,llama1b:qwen3b->qwen7b,llama1b:qwen7b->qwen3b,0.9520814035909414,0.6284948303588778,0.32358657323206363,0.023209774270071648,0.08414320589508861,0.060933431625016965,0.006160744600492762,0.019733594308490865,0.013572849707998103,5.900121811777353,5.331264454056509,0.5688573577208444
llama1b,llama3b,qwen1.5b,llama1b:llama3b->qwen1.5b,llama1b:qwen1.5b->llama3b,0.6825277158669804,0.9850664026606478,0.30253868679366747,0.08025913714664057,0.13170008908491582,0.05144095193827525,0.012706245011941064,0.023076310768374242,0.010370065756433178,3.886546011606697,4.981077530654147,1.0945315190474503
gpt2,llama1b,qwen1.5b,gpt2:llama1b->qwen1.5b,gpt2:qwen1.5b->llama1b,0.5129898616451909,0.80401764163057,0.2910277799853791,0.09678946831263602,0.11377006775001064,0.01698059943737462,0.01809321899781935,0.019649118679808453,0.0015558996819891036,3.1426692936802283,4.866479152638931,1.7238098589587025
gpt2,llama1b,qwen7b,gpt2:llama1b->qwen7b,gpt2:qwen7b->llama1b,1.0277309929562686,0.8031654444725408,0.22456554848372778,0.024610839143861085,0.13360592862591147,0.10899508948205039,0.0054615944100078195,0.021204230113653466,0.015742635703645647,3.346829851565417,5.173690859461203,1.8268610078957863
llama1b,qwen1.5b,qwen7b,llama1b:qwen1.5b->qwen7b,llama1b:qwen7b->qwen1.5b,0.9630712647331258,0.7457072418662583,0.2173640228668675,0.025803812604863197,0.11187422904185951,0.08607041643699631,0.007396798177069286,0.027015758212655783,0.019618960035586497,5.461657599778846,5.403437619213946,0.05821998056489974
gpt2,llama1b,llama8b,gpt2:llama1b->llama8b,gpt2:llama8b->llama1b,0.9946081377745349,0.7836141697892002,0.21099396798533476,0.02828203786339145,0.14278244355227798,0.11450040568888653,0.004977284366759704,0.03256192192202434,0.027584637555264635,3.7477160145062953,3.4718076022691093,0.275908412237186
gpt2,llama1b,llama3b,gpt2:llama1b->llama3b,gpt2:llama3b->llama1b,0.9856537719833199,0.7965793889795636,0.18907438300375634,0.1621782740112394,0.13891357800457627,0.023264696006663144,0.031247402119333856,0.0243567161669489,0.006890685952384956,3.102797500556335,3.817935384460725,0.71513788390439
gpt2,llama1b,mistral7b,gpt2:llama1b->mistral7b,gpt2:mistral7b->llama1b,0.9545117428924599,0.8306705592974872,0.12384118359497265,0.04191031027585268,0.07837560417829081,0.036465293902438134,0.0052974961581639946,0.013761857007921208,0.008464360849757213,4.9653506083996035,2.9659326128312387,1.9994179955683649
llama1b,llama1b,qwen1.5b,llama1b:llama1b->qwen1.5b,llama1b:qwen1.5b->llama1b,0.8449824484174777,0.9668012636459367,0.12181881522845894,0.0907073980779387,0.12131877738283947,0.030611379304900765,0.01765581135987304,0.021707703650463372,0.004051892290590331,3.411950092529878,5.136429951759055,1.7244798592291772
llama1b,llama1b,mistral7b,llama1b:llama1b->mistral7b,llama1b:mistral7b->llama1b,0.9872766139114121,0.8794687838544232,0.10780783005698891,0.037772313196910545,0.08437787654111162,0.04660556334420107,0.00560627007871517,0.01421470881177811,0.00860843873306294,5.234612148022279,4.218993531307206,1.0156186167150736
gpt2,mistral7b,qwen7b,gpt2:mistral7b->qwen7b,gpt2:qwen7b->mistral7b,1.0195774299259037,0.9202954108056516,0.09928201912025214,0.02074811929196585,0.04196765736560337,0.021219538073637523,0.0035204862488171784,0.0037269366075634025,0.00020645035874622408,3.127342262014281,6.891305314260535,3.763963052246254
gpt2,mistral7b,qwen1.5b,gpt2:mistral7b->qwen1.5b,gpt2:qwen1.5b->mistral7b,1.0049920278827449,0.9139709909092332,0.09102103697351172,0.048527837701840326,0.03646113889408298,0.012066698807757348,0.012791716784704477,0.008198857409297489,0.004592859375406988,2.8788130073226057,6.583506141032558,3.7046931337099522
gpt2,llama3b,llama8b,gpt2:llama3b->llama8b,gpt2:llama8b->llama3b,0.9676375768601524,0.8878788877717526,0.07975868908839978,0.019721767748706043,0.1525156304705888,0.13279386272188276,0.0035383647264097817,0.03451960068196058,0.0309812359555508,4.305733593646437,3.3175644342554733,0.9881691593909636
llama1b,llama8b,mistral7b,llama1b:llama8b->mistral7b,llama1b:mistral7b->llama8b,0.9432627260638908,0.8799352540099058,0.06332747205398503,0.036979451862862334,0.031500126759056,0.005479325103806332,0.0029882539856771473,0.0032209216533374274,0.00023266766766028013,5.499305407749489,4.881454031681642,0.617851376067847
gpt2,llama8b,mistral7b,gpt2:llama8b->mistral7b,gpt2:mistral7b->llama8b,0.8624806371360174,0.917648344513479,0.05516770737746157,0.031218666772474535,0.026058631148771383,0.005160035623703152,0.003025893613084918,0.0031395481473737163,0.00011365453428879846,5.183692613558378,3.6270867264829576,1.5566058870754205
llama1b,llama3b,mistral7b,llama1b:llama3b->mistral7b,llama1b:mistral7b->llama3b,1.001721444299418,0.9543166649258013,0.04740477937361676,0.029916745799710043,0.09054727776674554,0.060630531967035495,0.003814581637925585,0.015418892406160012,0.011604310768234427,5.709208067099098,4.080273370957002,1.628934696142096
