config,metric,tier,n,raw_spearman,controlled_spearman,raw_pearson,controlled_pearson,base_control_r2,metric_augmented_r2,delta_r2,controls
mem32/enc_conv/full,target_readability_cross_entropy,pair_geometry,84,0.34139921028652426,-0.09310519388478283,0.2569960360246421,-0.016151998467841044,0.6460460795729489,0.6461384215686796,9.234199573071589e-05,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem32/enc_conv/full,pair_normalized_direction_rmse,pair_geometry,84,0.3348790118457021,-0.05750734028551179,0.17689926812766818,0.06504552468852262,0.6460460795729489,0.6475436303937789,0.0014975508208300292,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem32/enc_conv/full,source_to_target_anchor_kl,pair_geometry,84,0.3099726637643009,-0.1485471296952516,0.23677619230158523,-0.01914911838025023,0.6460460795729489,0.6461758704881869,0.000129790915238015,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem32/enc_conv/full,target_magnitude_tail_frac,pair_geometry,84,0.22459395929894357,-0.048535821522314455,0.10804918366518351,0.01900495147451792,0.6460460795729489,0.6461739235454662,0.00012784397251730528,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem32/enc_conv/full,target_readability_tail_frac,pair_geometry,84,0.20417394030896052,-0.065085432411438,-0.13419775049285723,-0.008774619988017053,0.6460460795729489,0.646073331885501,2.7252312552072944e-05,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem32/enc_conv/full,target_readability_z2_mean,pair_geometry,84,0.06149640579123215,-0.07654145995747696,-0.15345226953381164,-0.005125000385006051,0.6460460795729489,0.646055376395287,9.296822338078492e-06,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem32/converter_only/full,target_readability_cross_entropy,pair_geometry,84,0.27378758732408626,-0.19230535587729067,0.2050403545647282,-0.21830235699176867,0.6929826059177031,0.7076138020026063,0.014631196084903153,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem32/converter_only/full,pair_normalized_direction_rmse,pair_geometry,84,0.2310418143160879,-0.12258783031284803,0.12809514356835003,-0.10690655225659576,0.6929826059177031,0.6964915110658849,0.0035089051481818068,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem32/converter_only/full,source_to_target_anchor_kl,pair_geometry,84,0.237015288042928,-0.25637339273058624,0.18367061085371958,-0.21674013780640083,0.6929826059177031,0.7074051432393667,0.014422537321663542,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem32/converter_only/full,target_magnitude_tail_frac,pair_geometry,84,0.17210822216983546,0.013109780844869358,0.10361655189282497,0.03872973425963251,0.6929826059177031,0.6934431296496502,0.000460523731947049,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem32/converter_only/full,target_readability_tail_frac,pair_geometry,84,0.087165826320794,-0.22532844008776307,-0.1576828067092087,-0.02642041622946778,0.6929826059177031,0.693196915846318,0.0002143099286149308,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem32/converter_only/full,target_readability_z2_mean,pair_geometry,84,-0.017839424926597146,-0.20864635010630758,-0.16695752666976346,-0.06396358406790038,0.6929826059177031,0.6942387184894604,0.001256112571757284,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
