metric,n,controls,pearson_residual,spearman_residual
target_readability_z2_mean,83,target,0.24429652078299585,0.13066202090592335
_z_neg_target_readability_z2,83,target,-0.2442965207829959,-0.13066202090592335
diagnostic_source_direction_std_mean,83,target,-0.04829412056647041,-0.1292347088703245
diagnostic_target_direction_entropy,83,target,-0.03581282799287792,-0.08833931357985474
target_readability_energy,83,target,0.08274351928257247,0.07640317367029092
_z_target_readability_energy,83,target,0.08274351928257247,0.07640317367029092
source_target_top_anchor_overlap,83,target,-0.07986571990208152,-0.07529070987783888
_z_top_anchor_overlap,83,target,-0.07986571990208152,-0.07529070987783888
diagnostic_target_direction_std_min,83,target,-0.05063998425780255,-0.05731268133813682
target_readability_tail_frac,83,target,-0.0058473562263351726,0.04768202202274622
_z_neg_target_readability_tail,83,target,0.005847356226335178,-0.04768202202274622
target_readability_cross_entropy,83,target,-0.006323812060573473,0.04271441165358297
_z_neg_target_readability_ce,83,target,0.006323812060573479,-0.04271441165358297
target_magnitude_tail_frac,83,target,-0.2349758705800882,0.03302216577381356
_z_neg_target_magnitude_tail,83,target,0.2349758705800882,-0.03302216577381356
pair_normalized_direction_rmse,83,target,-0.0019924908007764148,0.022857982452457914
_z_neg_pair_norm_direction_rmse,83,target,0.0019924908007764113,-0.022857982452457914
diagnostic_target_direction_std_mean,83,target,-0.01145475474968389,-0.01125924132381583
pair_geometry_compatibility_score,83,target,0.02181785411182683,-0.009592376474539272
rel_direction_rmse_to_target,83,target,0.00025513945285433876,0.007241509592376474
_z_neg_direction_rmse,83,target,-0.00025513945285430325,-0.007241509592376474
combined_hidden_direction_score,83,target,-0.00025513945285433995,-0.007241509592376474
combined_param_direction_score,83,target,-0.000255139452854309,-0.007241509592376474
capacity_normalized_direction_rmse,83,target,0.002048019227260034,0.0050585617732253054
memory_target_norm_gap,83,target,0.08823443038645909,-0.0030015532513328574
rel_direction_l1_to_target,83,target,-0.010413494532893667,-0.002812644305444776
prior_param_tier_jump,83,target+encoder,0.48604142658482674,0.4687878992617475
prior_log_param_ratio_target_over_source,83,target+encoder,0.3728712605694045,0.45791343670908646
_z_log_param_ratio,83,target+encoder,0.37287126056940456,0.45791343670908646
source_hidden_size,83,target+encoder,-0.39376163059348884,-0.4381200084555163
prior_source_param_b,83,target+encoder,-0.40427561535554823,-0.43427587608517537
prior_same_model_family,83,target+encoder,0.3679695110394605,0.4247506260305214
prior_cross_model_family,83,target+encoder,-0.36796951103946046,-0.4247506260305214
diagnostic_source_direction_entropy_mean,83,target+encoder,-0.31440305233892907,-0.38669661223290375
source_target_direction_entropy_gap,83,target+encoder,0.1640108126344163,0.3760967213802947
_z_neg_direction_entropy_gap,83,target+encoder,-0.16401081263441628,-0.3760967213802947
anchor_direction_js_to_target,83,target+encoder,0.13159800849581,0.36767977834683685
_z_neg_anchor_js,83,target+encoder,-0.13159800849581,-0.36767977834683685
combined_hidden_js_score,83,target+encoder,-0.13159800849581002,-0.36767977834683685
source_to_target_anchor_kl,83,target+encoder,0.1276466334372052,0.3364258427437975
_z_neg_source_to_target_kl,83,target+encoder,-0.12764663343720523,-0.3364258427437975
combined_ratio_direction_score,83,target+encoder,0.35765818335922056,0.3043742915914529
target_readability_z2_mean,83,target+encoder,0.23634506711031592,0.2837622266067755
_z_neg_target_readability_z2,83,target+encoder,-0.2363450671103159,-0.2837622266067755
diagnostic_rel_direction_z2_mean,83,target+encoder,0.23630345542614856,0.28271273246295286
diagnostic_rel_magnitude_z_abs_mean,83,target+encoder,-0.10232426938060586,-0.2486251626715923
target_readability_tail_frac,83,target+encoder,0.013202285479383593,0.22131031409349053
_z_neg_target_readability_tail,83,target+encoder,-0.013202285479383588,-0.22131031409349053
target_direction_subspace_residual,83,target+encoder,0.540975635598453,0.2093530918097477
_z_neg_subspace_residual,83,target+encoder,-0.540975635598453,-0.2093530918097477
memory_target_norm_gap,83,target+encoder,0.23048219859029528,0.20242643046051803
abs_log_hidden_ratio,83,target+encoder,0.36766705292918295,0.19722913771380293
rel_magnitude_l1_to_target,83,target+encoder,-0.14294300152541606,-0.17178120146089584
rel_magnitude_rmse_to_target,83,target+encoder,-0.14112955413395165,-0.17054279837118508
_z_neg_magnitude_rmse,83,target+encoder,0.14112955413395165,0.17054279837118508
diagnostic_target_magnitude_std_mean,83,target+encoder,0.14541742461748283,0.16365805765316052
diagnostic_target_magnitude_std_min,83,target+encoder,0.14541739091611525,0.16365805765316052
target_readability_cross_entropy,83,target+encoder,0.01693078346535252,0.15265941816044667
_z_neg_target_readability_ce,83,target+encoder,-0.0169307834653525,-0.15265941816044667
diagnostic_target_direction_entropy,83,target+encoder,-0.047857606037866866,-0.1490055636025179
rel_direction_rmse_to_target,83,target+encoder,0.01628071116733293,0.1390789639393812
_z_neg_direction_rmse,83,target+encoder,-0.01628071116733289,-0.1390789639393812
combined_hidden_direction_score,83,target+encoder,-0.016280711167332904,-0.1390789639393812
combined_param_direction_score,83,target+encoder,-0.016280711167332908,-0.1390789639393812
capacity_normalized_direction_rmse,83,target+encoder,0.018204744957302538,0.1366021577599597
pair_geometry_compatibility_score,83,target+encoder,-0.06693502998788707,-0.13143864657235213
source_native_nll,83,target+encoder,0.1564519987352762,0.12730363964569077
target_minus_source_nll,83,target+encoder,-0.1564519987352762,-0.12730363964569077
_z_neg_source_native_nll,83,target+encoder,-0.15645199873527624,-0.12730363964569077
combined_hidden_source_quality_score,83,target+encoder,-0.1564519987352762,-0.12730363964569077
