pair,encoder,source,target,mem_tokens,method,origin_target_bleu,transfer_bleu,transfer_accuracy,transfer_retention
gpt2:llama8b->qwen3b,gpt2,llama8b,qwen3b,8,converter_only,0.254545,0.008407,0.448398,0.03302755897778389
gpt2:llama8b->qwen7b,gpt2,llama8b,qwen7b,8,converter_only,0.158492,0.172597,0.653477,1.0889950281402216
gpt2:mistral7b->llama1b,gpt2,mistral7b,llama1b,8,converter_only,0.297899,0.136786,0.595984,0.4591690472274159
gpt2:mistral7b->llama3b,gpt2,mistral7b,llama3b,8,converter_only,0.398836,0.236421,0.676516,0.5927774824739993
gpt2:mistral7b->llama8b,gpt2,mistral7b,llama8b,8,converter_only,0.489351,0.193476,0.669531,0.39537264662788063
gpt2:mistral7b->qwen1.5b,gpt2,mistral7b,qwen1.5b,8,converter_only,0.205289,0.011354,0.437898,0.055307395915027105
gpt2:mistral7b->qwen3b,gpt2,mistral7b,qwen3b,8,converter_only,0.254545,0.008299,0.448742,0.03260327250584376
gpt2:mistral7b->qwen7b,gpt2,mistral7b,qwen7b,8,converter_only,0.158492,0.157111,0.628383,0.9912866264543321
gpt2:qwen1.5b->llama1b,gpt2,qwen1.5b,llama1b,8,converter_only,0.297899,0.173982,0.618945,0.584030157872299
gpt2:qwen1.5b->llama3b,gpt2,qwen1.5b,llama3b,8,converter_only,0.398836,0.24033,0.680367,0.602578503445025
gpt2:qwen1.5b->llama8b,gpt2,qwen1.5b,llama8b,8,converter_only,0.489351,0.327287,0.740773,0.6688184963349416
gpt2:qwen1.5b->mistral7b,gpt2,qwen1.5b,mistral7b,8,converter_only,0.431169,0.280798,0.753852,0.6512481184871824
gpt2:qwen1.5b->qwen3b,gpt2,qwen1.5b,qwen3b,8,converter_only,0.254545,0.018568,0.457953,0.07294584454615097
gpt2:qwen1.5b->qwen7b,gpt2,qwen1.5b,qwen7b,8,converter_only,0.158492,0.215633,0.672484,1.3605292380687983
gpt2:qwen3b->llama1b,gpt2,qwen3b,llama1b,8,converter_only,0.297899,0.006975,0.412203,0.02341397587773037
gpt2:qwen3b->llama3b,gpt2,qwen3b,llama3b,8,converter_only,0.398836,0.218808,0.675625,0.5486164739391629
gpt2:qwen3b->llama8b,gpt2,qwen3b,llama8b,8,converter_only,0.489351,0.289999,0.736883,0.5926196125071779
gpt2:qwen3b->mistral7b,gpt2,qwen3b,mistral7b,8,converter_only,0.431169,0.292515,0.755766,0.6784230777259033
gpt2:qwen3b->qwen1.5b,gpt2,qwen3b,qwen1.5b,8,converter_only,0.205289,0.019653,0.460305,0.09573333203435158
gpt2:qwen3b->qwen7b,gpt2,qwen3b,qwen7b,8,converter_only,0.158492,0.207997,0.666484,1.312350150165308
gpt2:qwen7b->llama1b,gpt2,qwen7b,llama1b,8,converter_only,0.297899,0.179763,0.632508,0.6034360639008522
gpt2:qwen7b->llama3b,gpt2,qwen7b,llama3b,8,converter_only,0.398836,0.250712,0.706859,0.6286092529260147
gpt2:qwen7b->llama8b,gpt2,qwen7b,llama8b,8,converter_only,0.489351,0.351423,0.772117,0.718140966300263
gpt2:qwen7b->mistral7b,gpt2,qwen7b,mistral7b,8,converter_only,0.431169,0.309374,0.783961,0.7175237551864814
gpt2:qwen7b->qwen1.5b,gpt2,qwen7b,qwen1.5b,8,converter_only,0.205289,0.016043,0.463328,0.0781483664492496
gpt2:qwen7b->qwen3b,gpt2,qwen7b,qwen3b,8,converter_only,0.254545,0.015538,0.458625,0.061042251861164035
llama1b:llama1b->llama3b,llama1b,llama1b,llama3b,8,converter_only,0.708882,0.409587,0.856664,0.5777929189907488
llama1b:llama1b->llama8b,llama1b,llama1b,llama8b,8,converter_only,0.543865,0.546901,0.914438,1.0055822676583341
llama1b:llama1b->mistral7b,llama1b,llama1b,mistral7b,8,converter_only,0.821058,0.453892,0.867641,0.5528135649369472
llama1b:llama1b->qwen1.5b,llama1b,llama1b,qwen1.5b,8,converter_only,0.415635,0.01476,0.451641,0.035511927532570646
llama1b:llama1b->qwen3b,llama1b,llama1b,qwen3b,8,converter_only,0.589789,0.013051,0.461289,0.022128252646285367
llama1b:llama1b->qwen7b,llama1b,llama1b,qwen7b,8,converter_only,0.29031,0.241355,0.726562,0.8313699149185353
llama1b:llama3b->llama1b,llama1b,llama3b,llama1b,8,converter_only,0.670358,0.19815,0.710984,0.29558832743101443
llama1b:llama3b->llama8b,llama1b,llama3b,llama8b,8,converter_only,0.543865,0.58314,0.925766,1.0722146120820424
llama1b:llama3b->mistral7b,llama1b,llama3b,mistral7b,8,converter_only,0.821058,0.421266,0.850992,0.5130770298809585
llama1b:llama3b->qwen1.5b,llama1b,llama3b,qwen1.5b,8,converter_only,0.415635,0.010945,0.446203,0.02633320100569009
llama1b:llama3b->qwen3b,llama1b,llama3b,qwen3b,8,converter_only,0.589789,0.00448,0.449359,0.007595936851992831
llama1b:llama3b->qwen7b,llama1b,llama3b,qwen7b,8,converter_only,0.29031,0.203068,0.700023,0.6994867555371843
llama1b:llama8b->llama1b,llama1b,llama8b,llama1b,8,converter_only,0.670358,0.118859,0.629461,0.1773067525113447
llama1b:llama8b->llama3b,llama1b,llama8b,llama3b,8,converter_only,0.708882,0.194512,0.719227,0.2743926351635392
llama1b:llama8b->mistral7b,llama1b,llama8b,mistral7b,8,converter_only,0.821058,0.169628,0.731797,0.20659685430261931
llama1b:llama8b->qwen1.5b,llama1b,llama8b,qwen1.5b,8,converter_only,0.415635,0.009764,0.436453,0.023491765611654458
llama1b:llama8b->qwen3b,llama1b,llama8b,qwen3b,8,converter_only,0.589789,0.006644,0.447266,0.011265045634964369
llama1b:llama8b->qwen7b,llama1b,llama8b,qwen7b,8,converter_only,0.29031,0.080226,0.579922,0.27634597499224967
llama1b:mistral7b->llama1b,llama1b,mistral7b,llama1b,8,converter_only,0.670358,0.151121,0.649047,0.225433275951059
llama1b:mistral7b->llama3b,llama1b,mistral7b,llama3b,8,converter_only,0.708882,0.304998,0.75357,0.43025214351612817
llama1b:mistral7b->llama8b,llama1b,mistral7b,llama8b,8,converter_only,0.543865,0.274335,0.758047,0.5044174565379276
llama1b:mistral7b->qwen1.5b,llama1b,mistral7b,qwen1.5b,8,converter_only,0.415635,0.00845,0.438523,0.020330337916681703
llama1b:mistral7b->qwen3b,llama1b,mistral7b,qwen3b,8,converter_only,0.589789,0.010009,0.45307,0.016970475882052735
llama1b:mistral7b->qwen7b,llama1b,mistral7b,qwen7b,8,converter_only,0.29031,0.015226,0.489734,0.052447383831077124
llama1b:qwen1.5b->llama1b,llama1b,qwen1.5b,llama1b,8,converter_only,0.670358,0.238398,0.718344,0.3556278883820287
llama1b:qwen1.5b->llama3b,llama1b,qwen1.5b,llama3b,8,converter_only,0.708882,0.302445,0.788117,0.4266506978594463
llama1b:qwen1.5b->llama8b,llama1b,qwen1.5b,llama8b,8,converter_only,0.543865,0.456081,0.850414,0.8385922977209418
llama1b:qwen1.5b->mistral7b,llama1b,qwen1.5b,mistral7b,8,converter_only,0.821058,0.380206,0.836625,0.4630683825016016
llama1b:qwen1.5b->qwen3b,llama1b,qwen1.5b,qwen3b,8,converter_only,0.589789,0.008,0.445703,0.0135641729499872
llama1b:qwen1.5b->qwen7b,llama1b,qwen1.5b,qwen7b,8,converter_only,0.29031,0.307543,0.763852,1.059360683407392
llama1b:qwen3b->llama1b,llama1b,qwen3b,llama1b,8,converter_only,0.670358,0.118398,0.609617,0.176619060263322
llama1b:qwen3b->llama3b,llama1b,qwen3b,llama3b,8,converter_only,0.708882,0.377581,0.817383,0.5326429504487348
llama1b:qwen3b->llama8b,llama1b,qwen3b,llama8b,8,converter_only,0.543865,0.512683,0.881094,0.9426659189320878
llama1b:qwen3b->mistral7b,llama1b,qwen3b,mistral7b,8,converter_only,0.821058,0.428935,0.862273,0.5224174175271419
llama1b:qwen3b->qwen1.5b,llama1b,qwen3b,qwen1.5b,8,converter_only,0.415635,0.039203,0.506641,0.0943207381476536
llama1b:qwen3b->qwen7b,llama1b,qwen3b,qwen7b,8,converter_only,0.29031,0.348012,0.792922,1.1987599462643381
llama1b:qwen7b->llama1b,llama1b,qwen7b,llama1b,8,converter_only,0.670358,0.181676,0.692484,0.2710133988107847
llama1b:qwen7b->llama3b,llama1b,qwen7b,llama3b,8,converter_only,0.708882,0.293932,0.788672,0.4146416469877921
llama1b:qwen7b->llama8b,llama1b,qwen7b,llama8b,8,converter_only,0.543865,0.423559,0.865406,0.7787943699263604
llama1b:qwen7b->mistral7b,llama1b,qwen7b,mistral7b,8,converter_only,0.821058,0.339335,0.838039,0.4132899259248433
llama1b:qwen7b->qwen1.5b,llama1b,qwen7b,qwen1.5b,8,converter_only,0.415635,0.025584,0.469977,0.06155400772312245
llama1b:qwen7b->qwen3b,llama1b,qwen7b,qwen3b,8,converter_only,0.589789,0.038115,0.497797,0.06462480649859527
