target,metric,n,pearson,spearman
llama8b,_z_neg_direction_entropy_gap,12,0.11749589859001315,0.11188811188811189
llama8b,anchor_direction_js_to_target,12,-0.18752675015137327,-0.1048951048951049
llama8b,source_to_target_anchor_kl,12,-0.18593964960207243,-0.1048951048951049
llama8b,_z_neg_anchor_js,12,0.18752675015137338,0.1048951048951049
llama8b,_z_neg_source_to_target_kl,12,0.18593964960207232,0.1048951048951049
llama8b,combined_hidden_js_score,12,0.1875267501513736,0.1048951048951049
llama8b,source_target_top_anchor_overlap,12,-0.04059195457990036,0.06993006993006994
llama8b,_z_top_anchor_overlap,12,-0.040591954579900356,0.06993006993006994
llama8b,source_hidden_size,12,-0.06495080746530545,0.0
llama8b,abs_log_hidden_ratio,12,0.02071819910848729,0.0
mistral7b,source_native_nll,12,-0.7382201589280619,-0.6503496503496503
mistral7b,target_minus_source_nll,12,0.7382201589280619,0.6503496503496503
mistral7b,_z_neg_source_native_nll,12,0.7382201589280619,0.6503496503496503
mistral7b,combined_hidden_source_quality_score,12,0.7382201589280619,0.6503496503496503
mistral7b,prior_source_param_b,12,-0.17216549548914264,-0.2724872109505932
mistral7b,prior_log_param_ratio_target_over_source,12,0.23933190863513676,0.2724872109505932
mistral7b,_z_log_param_ratio,12,0.23933190863513673,0.2724872109505932
mistral7b,combined_ratio_direction_score,12,0.23522325944623276,0.22377622377622378
mistral7b,target_readability_energy,12,0.12638891901875354,0.2097902097902098
mistral7b,_z_target_readability_energy,12,0.12638891901875354,0.2097902097902098
mistral7b,target_readability_tail_frac,12,-0.04168853871212643,-0.20279720279720279
mistral7b,_z_neg_target_readability_tail,12,0.04168853871212677,0.20279720279720279
mistral7b,prior_param_tier_jump,12,0.18320696909085746,0.17739371879672478
mistral7b,target_readability_cross_entropy,12,-0.1254206594831211,-0.17482517482517482
mistral7b,_z_neg_target_readability_ce,12,0.12542065948312067,0.17482517482517482
mistral7b,source_target_top_anchor_overlap,12,0.01826930562759153,0.13986013986013987
mistral7b,source_target_direction_dispersion_gap,12,-0.15250085823123466,-0.13986013986013987
mistral7b,diagnostic_source_direction_std_mean,12,0.175795019516521,0.13986013986013987
mistral7b,_z_top_anchor_overlap,12,0.018269305627591503,0.13986013986013987
mistral7b,_z_neg_direction_dispersion_gap,12,0.15250085823123466,0.13986013986013987
mistral7b,memory_target_norm_gap,12,0.05146636136963233,0.13286713286713286
mistral7b,source_hidden_size,12,-0.10891934268639442,-0.09321930900941347
mistral7b,abs_log_hidden_ratio,12,0.08607348298776446,0.09321930900941347
mistral7b,source_to_target_anchor_kl,12,-0.034260488538338886,0.08391608391608392
mistral7b,_z_neg_source_to_target_kl,12,0.03426048853833891,-0.08391608391608392
mistral7b,rel_direction_rmse_to_target,12,0.023594203037974274,0.07692307692307693
mistral7b,capacity_normalized_direction_rmse,12,0.02359420303797422,0.07692307692307693
mistral7b,diagnostic_rel_direction_z2_mean,12,0.015006563045402536,0.07692307692307693
mistral7b,target_readability_z2_mean,12,0.011474565130068275,0.07692307692307693
mistral7b,_z_neg_direction_rmse,12,-0.02359420303797429,-0.07692307692307693
mistral7b,_z_neg_target_readability_z2,12,-0.011474565130068098,-0.07692307692307693
mistral7b,combined_hidden_direction_score,12,-0.02359420303797452,-0.07692307692307693
mistral7b,combined_param_direction_score,12,-0.023594203037974364,-0.07692307692307693
mistral7b,target_direction_subspace_residual,12,0.06223146184128555,0.06993006993006994
mistral7b,_z_neg_subspace_residual,12,-0.062231461841285536,-0.06993006993006994
mistral7b,rel_magnitude_l1_to_target,12,0.01008982630260328,0.04895104895104895
mistral7b,anchor_direction_js_to_target,12,-0.029888554367547285,0.04895104895104895
mistral7b,diagnostic_rel_magnitude_z_abs_mean,12,0.005566669099275848,0.04895104895104895
mistral7b,pair_normalized_direction_rmse,12,-0.02620067211507632,-0.04895104895104895
mistral7b,source_target_direction_entropy_gap,12,-0.022774047012463196,0.04895104895104895
mistral7b,diagnostic_source_direction_entropy_mean,12,0.022940390434654456,-0.04895104895104895
mistral7b,_z_neg_anchor_js,12,0.02988855436754743,-0.04895104895104895
mistral7b,_z_neg_pair_norm_direction_rmse,12,0.0262006721150763,0.04895104895104895
mistral7b,_z_neg_direction_entropy_gap,12,0.022774047012463213,-0.04895104895104895
mistral7b,combined_hidden_js_score,12,0.029888554367547362,-0.04895104895104895
mistral7b,pair_geometry_compatibility_score,12,0.01844777728096877,0.04895104895104895
mistral7b,diagnostic_target_direction_std_mean,12,0.05701472327141171,0.04828045495852676
mistral7b,diagnostic_target_direction_std_min,12,0.05701472327141171,0.04828045495852676
mistral7b,diagnostic_target_magnitude_std_mean,12,0.0570147232714117,0.04828045495852676
mistral7b,diagnostic_target_magnitude_std_min,12,0.05701472327141171,0.04828045495852676
mistral7b,diagnostic_target_direction_entropy,12,0.05701472327141166,0.04828045495852676
mistral7b,rel_magnitude_rmse_to_target,12,0.0014247967776540296,0.03496503496503497
mistral7b,_z_neg_magnitude_rmse,12,-0.001424796777654046,-0.03496503496503497
mistral7b,rel_direction_l1_to_target,12,0.005282544645346404,0.006993006993006993
qwen1.5b,diagnostic_target_magnitude_std_mean,12,0.5515769806343717,0.587803385931742
qwen1.5b,diagnostic_target_magnitude_std_min,12,0.5515769732530877,0.587803385931742
qwen1.5b,prior_same_model_family,12,0.5396570771701266,0.563300712149108
qwen1.5b,prior_cross_model_family,12,-0.5396570771701266,-0.563300712149108
qwen1.5b,source_native_nll,12,0.4849058481719327,0.5384615384615384
qwen1.5b,target_minus_source_nll,12,-0.4849058481719327,-0.5384615384615384
qwen1.5b,_z_neg_source_native_nll,12,-0.4849058481719327,-0.5384615384615384
qwen1.5b,combined_hidden_source_quality_score,12,-0.48490584817193266,-0.5384615384615384
qwen1.5b,diagnostic_rel_magnitude_z_abs_mean,12,-0.42124919595874977,-0.5174825174825175
qwen1.5b,target_readability_tail_frac,12,0.48602091806987,0.4938711601785341
qwen1.5b,_z_neg_target_readability_tail,12,-0.4860209180698701,-0.4938711601785341
qwen1.5b,source_target_top_anchor_overlap,12,0.7936687425206929,0.4405594405594406
qwen1.5b,_z_top_anchor_overlap,12,0.7936687425206929,0.4405594405594406
qwen1.5b,anchor_direction_js_to_target,12,0.38751569740601316,0.42657342657342656
qwen1.5b,_z_neg_anchor_js,12,-0.3875156974060131,-0.42657342657342656
qwen1.5b,combined_hidden_js_score,12,-0.38751569740601305,-0.42657342657342656
qwen1.5b,diagnostic_target_direction_std_mean,12,0.4650126739847925,0.4198595613798157
qwen1.5b,diagnostic_target_direction_std_min,12,0.05699853906890596,0.4198595613798157
qwen1.5b,diagnostic_target_direction_entropy,12,-0.522997858366613,-0.4198595613798157
qwen1.5b,rel_direction_l1_to_target,12,0.2622238348628052,0.40559440559440557
qwen1.5b,rel_direction_rmse_to_target,12,0.26879371739957203,0.40559440559440557
qwen1.5b,capacity_normalized_direction_rmse,12,0.26879371739957203,0.40559440559440557
qwen1.5b,diagnostic_rel_direction_z2_mean,12,0.2885284692276279,0.40559440559440557
qwen1.5b,target_readability_z2_mean,12,0.2872796267057999,0.40559440559440557
qwen1.5b,_z_neg_direction_rmse,12,-0.268793717399572,-0.40559440559440557
qwen1.5b,_z_neg_target_readability_z2,12,-0.2872796267057998,-0.40559440559440557
qwen1.5b,combined_hidden_direction_score,12,-0.268793717399572,-0.40559440559440557
qwen1.5b,combined_param_direction_score,12,-0.268793717399572,-0.40559440559440557
qwen1.5b,source_hidden_size,12,-0.38715096974190966,-0.393041832067032
qwen1.5b,abs_log_hidden_ratio,12,-0.3950411229785758,-0.393041832067032
qwen1.5b,source_to_target_anchor_kl,12,0.3655081559125255,0.3776223776223776
qwen1.5b,diagnostic_source_direction_entropy_mean,12,-0.4663799652595568,-0.3776223776223776
qwen1.5b,_z_neg_source_to_target_kl,12,-0.3655081559125256,-0.3776223776223776
qwen1.5b,target_readability_energy,12,0.6246064424452457,0.36363636363636365
qwen1.5b,_z_target_readability_energy,12,0.6246064424452457,0.36363636363636365
qwen1.5b,diagnostic_source_direction_std_mean,12,-0.3362009209340671,-0.35664335664335667
qwen1.5b,pair_normalized_direction_rmse,12,0.2741589172970434,0.3356643356643357
qwen1.5b,_z_neg_pair_norm_direction_rmse,12,-0.2741589172970434,-0.3356643356643357
qwen1.5b,prior_source_param_b,12,-0.2007301892459565,-0.32753486005586
qwen1.5b,prior_log_param_ratio_target_over_source,12,0.11529306113824146,0.32753486005586
qwen1.5b,_z_log_param_ratio,12,0.11529306113824146,0.32753486005586
qwen1.5b,source_target_direction_dispersion_gap,12,0.35275917099821474,0.3146853146853147
qwen1.5b,_z_neg_direction_dispersion_gap,12,-0.35275917099821474,-0.3146853146853147
qwen1.5b,target_readability_cross_entropy,12,0.2834182931849473,0.3076923076923077
qwen1.5b,source_target_direction_entropy_gap,12,0.48474132342953496,0.3076923076923077
qwen1.5b,_z_neg_target_readability_ce,12,-0.2834182931849473,-0.3076923076923077
qwen1.5b,_z_neg_direction_entropy_gap,12,-0.48474132342953496,-0.3076923076923077
qwen1.5b,rel_magnitude_rmse_to_target,12,0.18356963833080028,0.1888111888111888
qwen1.5b,_z_neg_magnitude_rmse,12,-0.1835696383308003,-0.1888111888111888
qwen1.5b,pair_geometry_compatibility_score,12,0.23331628824684744,0.17482517482517482
qwen1.5b,rel_magnitude_l1_to_target,12,0.18562114583079942,0.13286713286713286
qwen1.5b,memory_target_norm_gap,12,0.31710565254881806,0.1258741258741259
qwen1.5b,target_direction_subspace_residual,12,-0.05087709736237104,-0.027972027972027972
