target,metric,n,pearson,spearman
llama8b,prior_same_model_family,12,0.5158149384679492,0.6657190234489458
llama8b,prior_cross_model_family,12,-0.5158149384679491,-0.6657190234489458
llama8b,combined_ratio_direction_score,12,0.5809599194537304,0.6013986013986014
llama8b,prior_source_param_b,12,-0.5651122680730379,-0.5822841956548622
llama8b,prior_log_param_ratio_target_over_source,12,0.5371653234345604,0.5822841956548622
llama8b,_z_log_param_ratio,12,0.5371653234345604,0.5822841956548622
llama8b,prior_param_tier_jump,12,0.5707558963243474,0.563300712149108
llama8b,rel_magnitude_l1_to_target,12,-0.5493326851117301,-0.48951048951048953
llama8b,rel_magnitude_rmse_to_target,12,-0.555208215107426,-0.48951048951048953
llama8b,_z_neg_magnitude_rmse,12,0.5552082151074259,0.48951048951048953
llama8b,target_readability_cross_entropy,12,-0.3364779928340159,-0.46853146853146854
llama8b,_z_neg_target_readability_ce,12,0.33647799283401564,0.46853146853146854
llama8b,target_direction_subspace_residual,12,0.7748897657458594,0.46153846153846156
llama8b,_z_neg_subspace_residual,12,-0.7748897657458594,-0.46153846153846156
llama8b,pair_normalized_direction_rmse,12,-0.38143675085921214,-0.4405594405594406
llama8b,_z_neg_pair_norm_direction_rmse,12,0.38143675085921225,0.4405594405594406
llama8b,source_native_nll,12,-0.17186254071835658,-0.4125874125874126
llama8b,target_minus_source_nll,12,0.1718625407183566,0.4125874125874126
llama8b,_z_neg_source_native_nll,12,0.1718625407183566,0.4125874125874126
llama8b,combined_hidden_source_quality_score,12,0.17186254071835655,0.4125874125874126
llama8b,source_hidden_size,12,-0.5113289658160506,-0.38721866819294826
llama8b,abs_log_hidden_ratio,12,0.43251284862249456,0.38721866819294826
llama8b,rel_direction_rmse_to_target,12,-0.43986115491562944,-0.3356643356643357
llama8b,capacity_normalized_direction_rmse,12,-0.4398611549156293,-0.3356643356643357
llama8b,_z_neg_direction_rmse,12,0.43986115491562944,0.3356643356643357
llama8b,combined_hidden_direction_score,12,0.4398611549156289,0.3356643356643357
llama8b,combined_param_direction_score,12,0.43986115491562877,0.3356643356643357
llama8b,rel_direction_l1_to_target,12,-0.5274024087183468,-0.32867132867132864
llama8b,anchor_direction_js_to_target,12,0.19606319405205883,0.32867132867132864
llama8b,source_to_target_anchor_kl,12,0.1967658275147478,0.32867132867132864
llama8b,source_target_direction_entropy_gap,12,0.31209879851599837,0.32867132867132864
llama8b,diagnostic_source_direction_entropy_mean,12,-0.2463651653845682,-0.32867132867132864
llama8b,_z_neg_anchor_js,12,-0.1960631940520587,-0.32867132867132864
llama8b,_z_neg_source_to_target_kl,12,-0.1967658275147479,-0.32867132867132864
llama8b,_z_neg_direction_entropy_gap,12,-0.3120987985159985,-0.32867132867132864
llama8b,combined_hidden_js_score,12,-0.1960631940520585,-0.32867132867132864
llama8b,source_target_top_anchor_overlap,12,-0.6062137875792578,-0.2867132867132867
llama8b,_z_top_anchor_overlap,12,-0.6062137875792578,-0.2867132867132867
llama8b,source_target_direction_dispersion_gap,12,0.04986500556596569,-0.27972027972027974
llama8b,diagnostic_source_direction_std_mean,12,-0.041926130165363715,0.27972027972027974
llama8b,_z_neg_direction_dispersion_gap,12,-0.04986500556596571,0.27972027972027974
llama8b,target_readability_tail_frac,12,-0.4719576005321123,-0.2136605728431956
llama8b,_z_neg_target_readability_tail,12,0.47195760053211244,0.2136605728431956
llama8b,target_readability_energy,12,-0.35705019793118636,-0.1888111888111888
llama8b,_z_target_readability_energy,12,-0.35705019793118636,-0.1888111888111888
llama8b,diagnostic_target_direction_std_min,12,0.11792513424068489,0.11450715310358611
llama8b,diagnostic_target_magnitude_std_mean,12,-0.33607365827286356,-0.11450715310358611
llama8b,diagnostic_target_magnitude_std_min,12,-0.3360735936549175,-0.11450715310358611
llama8b,diagnostic_rel_direction_z2_mean,12,0.021408586233381828,0.1048951048951049
llama8b,target_readability_z2_mean,12,0.02347524889818949,0.1048951048951049
llama8b,_z_neg_target_readability_z2,12,-0.023475248898189482,-0.1048951048951049
llama8b,diagnostic_rel_magnitude_z_abs_mean,12,0.1373241243447944,-0.09090909090909091
llama8b,memory_target_norm_gap,12,0.06720252443457589,-0.027972027972027972
llama8b,pair_geometry_compatibility_score,12,-0.24122382257302818,-0.027972027972027972
mistral7b,source_native_nll,12,-0.6332178546495706,-0.6573426573426573
mistral7b,target_minus_source_nll,12,0.6332178546495706,0.6573426573426573
mistral7b,_z_neg_source_native_nll,12,0.6332178546495707,0.6573426573426573
mistral7b,combined_hidden_source_quality_score,12,0.6332178546495707,0.6573426573426573
mistral7b,prior_source_param_b,12,-0.46562007937424627,-0.3728772360376539
mistral7b,prior_log_param_ratio_target_over_source,12,0.44259623534297127,0.3728772360376539
