task,metric,tier,n_groups,top1_hit_rate,mean_regret_at_1,median_regret_at_1,mean_spearman,mean_abs_spearman
T1_select_source,_z_neg_anchor_js,other,7,0.0,0.10933996202105913,0.06681708945754672,-0.1008991008991009,0.25674325674325676
T1_select_source,combined_hidden_js_score,L4_composite,7,0.0,0.10933996202105913,0.06681708945754672,-0.1008991008991009,0.25674325674325676
T1_select_source,target_magnitude_tail_frac,L1_pair_compatibility,1,0.0,0.028862348592060938,0.028862348592060938,0.2537880294917678,0.2537880294917678
T1_select_source,_z_neg_target_magnitude_tail,other,1,0.0,0.028862348592060938,0.028862348592060938,0.2537880294917678,0.2537880294917678
T1_select_source,target_readability_cross_entropy,L1_pair_compatibility,7,0.0,0.10075603798922148,0.06681708945754672,0.08291708291708291,0.25074925074925075
T1_select_source,_z_neg_target_readability_ce,other,7,0.0,0.10075603798922148,0.06681708945754672,0.08291708291708291,0.25074925074925075
T1_select_source,target_readability_energy,L1_pair_compatibility,7,0.0,0.1645907842855046,0.09621054563401576,0.06393606393606394,0.24975024975024976
T1_select_source,_z_target_readability_energy,other,7,0.0,0.1645907842855046,0.09621054563401576,0.06393606393606394,0.24975024975024976
T1_select_source,target_direction_subspace_residual,L1_mechanism,7,0.0,0.14720567540072235,0.11915170033932576,-0.13686313686313686,0.24075924075924077
T1_select_source,_z_neg_subspace_residual,other,7,0.0,0.14720567540072235,0.11915170033932576,-0.13686313686313686,0.24075924075924077
T1_select_source,pair_geometry_compatibility_score,L1_pair_compatibility,7,0.0,0.10921472864949118,0.08143860983575257,0.12487512487512488,0.22477522477522477
T1_select_source,source_target_direction_entropy_gap,L1_pair_compatibility,7,0.0,0.20075175708485765,0.08143860983575257,-0.17582417582417584,0.2077922077922078
T1_select_source,_z_neg_direction_entropy_gap,other,7,0.0,0.20075175708485765,0.08143860983575257,-0.17582417582417584,0.2077922077922078
T1_select_source,rel_magnitude_l1_to_target,L1_mechanism,7,0.0,0.17197370892590172,0.04720970140695813,0.1068931068931069,0.2047952047952048
T1_select_source,rel_magnitude_rmse_to_target,L1_mechanism,7,0.0,0.17197370892590172,0.04720970140695813,0.10589410589410589,0.2037962037962038
T1_select_source,_z_neg_magnitude_rmse,other,7,0.0,0.17197370892590172,0.04720970140695813,0.10589410589410589,0.2037962037962038
T1_select_source,diagnostic_rel_magnitude_z_abs_mean,other,7,0.0,0.12885285035184588,0.04720970140695813,0.05494505494505495,0.16683316683316685
T1_select_source,diagnostic_source_direction_std_mean,other,7,0.0,0.1601323668009218,0.04720970140695813,0.12187812187812187,0.15784215784215785
T1_select_source,diagnostic_target_magnitude_std_mean,other,7,0.0,0.14317431300070563,0.08143860983575257,0.07601816685859966,0.10873449631676713
T1_select_source,diagnostic_target_magnitude_std_min,other,7,0.0,0.14317431300070563,0.08143860983575257,0.07601816685859966,0.10873449631676713
T1_select_source,source_target_direction_dispersion_gap,L1_pair_compatibility,7,0.0,0.16460909638056734,0.04720970140695813,0.09490509490509491,0.09690309690309691
T1_select_source,_z_neg_direction_dispersion_gap,other,7,0.0,0.16460909638056734,0.04720970140695813,0.09490509490509491,0.09690309690309691
T2_select_target,combined_ratio_direction_score,L4_composite,14,0.5714285714285714,0.010039639071269797,0.0,0.40408163265306124,0.4571428571428572
T2_select_target,target_magnitude_tail_frac,L1_pair_compatibility,4,0.5,0.015616002157204711,0.010997568963761029,0.19639610121239315,0.45825756949558405
T2_select_target,_z_neg_target_magnitude_tail,other,4,0.5,0.015616002157204711,0.010997568963761029,0.19639610121239315,0.45825756949558405
