compressor,metric,n,pearson,spearman
gpt2:llama3b,_z_neg_target_readability_ce,6,0.356317986051849,0.6
gpt2:llama3b,_z_neg_direction_dispersion_gap,6,0.4092432919580085,0.6
gpt2:llama3b,combined_hidden_direction_score,6,0.6252574400664921,0.6
gpt2:llama3b,combined_hidden_js_score,6,0.6320974971881281,0.6
gpt2:llama3b,source_target_top_anchor_overlap,6,-0.15356102821582152,-0.5428571428571428
gpt2:llama3b,_z_top_anchor_overlap,6,-0.1535610282158215,-0.5428571428571428
gpt2:llama3b,source_native_nll,6,-0.7419945793032464,-0.4857142857142857
gpt2:llama3b,target_readability_tail_frac,6,0.06954469065282154,-0.4857142857142857
gpt2:llama3b,_z_neg_target_readability_tail,6,-0.06954469065282153,0.4857142857142857
gpt2:llama3b,_z_neg_source_native_nll,6,0.7419945793032463,0.4857142857142857
gpt2:llama3b,rel_magnitude_l1_to_target,6,0.14986385753606418,0.42857142857142855
gpt2:llama3b,rel_magnitude_rmse_to_target,6,0.22727825327205417,0.42857142857142855
gpt2:llama3b,_z_neg_magnitude_rmse,6,-0.22727825327205417,-0.42857142857142855
gpt2:llama3b,diagnostic_source_direction_std_mean,6,-0.5413072885506828,-0.39466488146729556
gpt2:llama3b,target_text_nll,6,-0.14478763941819317,-0.37142857142857144
gpt2:llama3b,target_minus_source_nll,6,-0.1340055073015235,-0.37142857142857144
gpt2:llama3b,pair_geometry_compatibility_score,6,0.04676671800852081,0.37142857142857144
gpt2:llama3b,diagnostic_rel_direction_z2_mean,6,0.06514176337409379,-0.3142857142857143
gpt2:llama3b,target_readability_z2_mean,6,0.05821682544977536,-0.3142857142857143
gpt2:llama3b,_z_neg_target_readability_z2,6,-0.058216825449775425,0.3142857142857143
gpt2:llama3b,prior_same_model_family,6,0.3521006112742237,0.20701966780270628
gpt2:llama3b,prior_cross_model_family,6,-0.3521006112742237,-0.20701966780270628
gpt2:llama3b,diagnostic_source_direction_entropy_mean,6,-0.08412892303480247,0.15179418517972906
gpt2:llama3b,diagnostic_target_direction_std_min,6,-0.35255192886494313,-0.08571428571428572
gpt2:llama8b,diagnostic_rel_magnitude_z_abs_mean,6,-0.6060971504324436,-0.9428571428571428
gpt2:llama8b,diagnostic_target_magnitude_std_mean,6,0.5601248533550737,0.9428571428571428
gpt2:llama8b,diagnostic_target_magnitude_std_min,6,0.560124898708542,0.9428571428571428
gpt2:llama8b,source_target_top_anchor_overlap,6,0.717563385943168,0.9428571428571428
gpt2:llama8b,_z_top_anchor_overlap,6,0.717563385943168,0.9428571428571428
gpt2:llama8b,combined_hidden_source_quality_score,6,0.8088888784337411,0.7714285714285715
gpt2:llama8b,target_hidden_size,6,0.8099056863703636,0.7247137945655605
gpt2:llama8b,abs_log_hidden_ratio,6,-0.8370049928032159,-0.7247137945655605
gpt2:llama8b,_z_target_hidden_size,6,0.8099056863703635,0.7247137945655605
gpt2:llama8b,prior_param_tier_jump,6,-0.5788374811325624,-0.6210590034081188
gpt2:llama8b,prior_target_param_b,6,0.5528193602136053,0.5590653920196746
gpt2:llama8b,prior_log_param_ratio_target_over_source,6,0.4641330187013819,0.5590653920196746
gpt2:llama8b,_z_prior_target_param_b,6,0.5528193602136053,0.5590653920196746
gpt2:llama8b,_z_log_param_ratio,6,0.4641330187013819,0.5590653920196746
gpt2:llama8b,memory_target_norm_gap,6,0.4146175773881016,0.5428571428571428
gpt2:llama8b,combined_hidden_direction_score,6,0.4312356184553523,0.37142857142857144
gpt2:llama8b,combined_param_direction_score,6,0.2631520751941654,0.3142857142857143
gpt2:llama8b,combined_ratio_direction_score,6,0.18328748933075636,0.3142857142857143
gpt2:llama8b,prior_same_model_family,6,0.4003094749649806,0.20701966780270628
gpt2:llama8b,prior_cross_model_family,6,-0.4003094749649806,-0.20701966780270628
gpt2:llama8b,rel_direction_l1_to_target,6,-0.004997274207717993,-0.2
gpt2:llama8b,rel_direction_rmse_to_target,6,-0.009891989422913451,-0.2
gpt2:llama8b,target_direction_subspace_residual,6,0.5465172309452098,0.2
gpt2:llama8b,capacity_normalized_direction_rmse,6,-0.058247005106939885,-0.2
gpt2:llama8b,diagnostic_rel_direction_z2_mean,6,0.1142322263256294,-0.2
gpt2:llama8b,diagnostic_target_direction_std_mean,6,-0.07435954613174925,-0.2
gpt2:llama8b,target_text_nll,6,-0.10820416379790943,-0.2
gpt2:llama8b,target_minus_source_nll,6,-0.10708929528395439,-0.2
gpt2:llama8b,pair_normalized_direction_rmse,6,-0.050888440992010515,-0.2
gpt2:llama8b,target_readability_z2_mean,6,0.114714032331442,-0.2
gpt2:llama8b,target_readability_tail_frac,6,0.3949446958280795,-0.2
gpt2:llama8b,source_target_direction_dispersion_gap,6,-0.09282433423167992,-0.2
gpt2:llama8b,_z_neg_direction_rmse,6,0.009891989422913472,0.2
gpt2:llama8b,_z_neg_subspace_residual,6,-0.5465172309452098,-0.2
gpt2:llama8b,_z_neg_pair_norm_direction_rmse,6,0.050888440992010536,0.2
gpt2:llama8b,_z_neg_target_readability_z2,6,-0.11471403233144202,0.2
gpt2:llama8b,_z_neg_target_readability_tail,6,-0.3949446958280795,0.2
gpt2:llama8b,_z_neg_direction_dispersion_gap,6,0.09282433423167984,0.2
gpt2:llama8b,combined_hidden_js_score,6,0.3580048610740455,0.2
gpt2:llama8b,pair_geometry_compatibility_score,6,-0.11722489507928964,0.2
gpt2:llama8b,diagnostic_source_direction_entropy_mean,6,0.302055906779136,-0.09258200997725516
gpt2:llama8b,diagnostic_source_direction_std_mean,6,-0.02328959815792604,-0.09258200997725516
gpt2:llama8b,anchor_direction_js_to_target,6,0.03683771253346306,-0.08571428571428572
gpt2:llama8b,diagnostic_target_direction_std_min,6,-0.20079560367938765,-0.08571428571428572
gpt2:llama8b,source_native_nll,6,-0.1004520216361552,-0.08571428571428572
gpt2:llama8b,target_readability_cross_entropy,6,0.025458644561324906,-0.08571428571428572
gpt2:llama8b,source_to_target_anchor_kl,6,0.023101027741124183,-0.08571428571428572
gpt2:llama8b,target_readability_energy,6,0.09247273697705197,0.08571428571428572
gpt2:llama8b,source_target_direction_entropy_gap,6,0.26793556265445906,-0.08571428571428572
gpt2:llama8b,diagnostic_target_direction_entropy,6,-0.09825839838300765,0.08571428571428572
gpt2:llama8b,_z_neg_anchor_js,6,-0.03683771253346304,0.08571428571428572
gpt2:llama8b,_z_neg_target_readability_ce,6,-0.02545864456132489,0.08571428571428572
gpt2:llama8b,_z_neg_source_to_target_kl,6,-0.023101027741124165,0.08571428571428572
gpt2:llama8b,_z_target_readability_energy,6,0.09247273697705198,0.08571428571428572
gpt2:llama8b,_z_neg_direction_entropy_gap,6,-0.26793556265445906,0.08571428571428572
gpt2:llama8b,_z_neg_source_native_nll,6,0.10045202163615517,0.08571428571428572
gpt2:llama8b,rel_magnitude_l1_to_target,6,0.5211711068918301,0.02857142857142857
gpt2:llama8b,rel_magnitude_rmse_to_target,6,0.5624612201701894,0.02857142857142857
gpt2:llama8b,_z_neg_magnitude_rmse,6,-0.5624612201701893,-0.02857142857142857
gpt2:mistral7b,diagnostic_rel_direction_z2_mean,6,0.7530735829307846,0.8285714285714286
gpt2:mistral7b,target_readability_z2_mean,6,0.7512855831334453,0.8285714285714286
gpt2:mistral7b,_z_neg_target_readability_z2,6,-0.7512855831334453,-0.8285714285714286
gpt2:mistral7b,target_readability_tail_frac,6,0.5818615711498847,0.8116794499134278
gpt2:mistral7b,_z_neg_target_readability_tail,6,-0.5818615711498846,-0.8116794499134278
gpt2:mistral7b,diagnostic_target_direction_std_min,6,-0.42253033954753394,-0.6571428571428571
gpt2:mistral7b,source_target_top_anchor_overlap,6,0.8468851354428061,0.6571428571428571
gpt2:mistral7b,_z_top_anchor_overlap,6,0.8468851354428059,0.6571428571428571
gpt2:mistral7b,rel_magnitude_l1_to_target,6,0.41193878475294565,0.6
gpt2:mistral7b,rel_magnitude_rmse_to_target,6,0.4110440819491861,0.6
gpt2:mistral7b,_z_neg_magnitude_rmse,6,-0.41104408194918607,-0.6
gpt2:mistral7b,source_native_nll,6,-0.37266506575877506,-0.5428571428571428
gpt2:mistral7b,_z_neg_source_native_nll,6,0.3726650657587751,0.5428571428571428
gpt2:mistral7b,combined_hidden_source_quality_score,6,0.62184320288069,0.5428571428571428
gpt2:mistral7b,diagnostic_source_direction_entropy_mean,6,-0.5910096815017623,-0.4879500364742666
gpt2:mistral7b,diagnostic_source_direction_std_mean,6,0.5910096815017623,0.4879500364742666
gpt2:mistral7b,target_hidden_size,6,0.6154673928002107,0.46381682852195877
gpt2:mistral7b,abs_log_hidden_ratio,6,-0.6631173322809979,-0.46381682852195877
gpt2:mistral7b,_z_target_hidden_size,6,0.6154673928002107,0.46381682852195877
gpt2:mistral7b,target_readability_energy,6,0.5089816440667069,0.42857142857142855
gpt2:mistral7b,_z_target_readability_energy,6,0.5089816440667069,0.42857142857142855
gpt2:mistral7b,anchor_direction_js_to_target,6,-0.06511919450734792,0.37142857142857144
gpt2:mistral7b,diagnostic_rel_magnitude_z_abs_mean,6,-0.3698760886204501,-0.37142857142857144
gpt2:mistral7b,diagnostic_target_direction_std_mean,6,-0.4162163161482598,-0.37142857142857144
gpt2:mistral7b,diagnostic_target_magnitude_std_mean,6,0.3810687559739496,0.37142857142857144
gpt2:mistral7b,diagnostic_target_magnitude_std_min,6,0.38106877344071416,0.37142857142857144
gpt2:mistral7b,target_readability_cross_entropy,6,-0.08952623227211529,0.37142857142857144
gpt2:mistral7b,source_to_target_anchor_kl,6,-0.08500712560764734,0.37142857142857144
gpt2:mistral7b,source_target_direction_dispersion_gap,6,-0.4100577399278786,-0.37142857142857144
gpt2:mistral7b,diagnostic_target_direction_entropy,6,-0.02614189473050939,-0.37142857142857144
gpt2:mistral7b,_z_neg_anchor_js,6,0.06511919450734789,-0.37142857142857144
gpt2:mistral7b,_z_neg_target_readability_ce,6,0.08952623227211527,-0.37142857142857144
gpt2:mistral7b,_z_neg_source_to_target_kl,6,0.08500712560764737,-0.37142857142857144
gpt2:mistral7b,_z_neg_direction_dispersion_gap,6,0.4100577399278785,0.37142857142857144
gpt2:mistral7b,combined_hidden_js_score,6,0.45066148712228643,0.37142857142857144
gpt2:mistral7b,rel_direction_l1_to_target,6,0.3530468609789699,0.2571428571428571
gpt2:mistral7b,rel_direction_rmse_to_target,6,0.32559446716964574,0.2571428571428571
gpt2:mistral7b,memory_target_norm_gap,6,0.2594806912453864,0.2571428571428571
gpt2:mistral7b,target_direction_subspace_residual,6,0.26801893000915766,-0.2571428571428571
gpt2:mistral7b,capacity_normalized_direction_rmse,6,0.2625075812951514,0.2571428571428571
gpt2:mistral7b,target_text_nll,6,0.2518532775709368,0.2571428571428571
gpt2:mistral7b,target_minus_source_nll,6,0.2576679329348248,0.2571428571428571
gpt2:mistral7b,pair_normalized_direction_rmse,6,0.3897167049459091,0.2571428571428571
gpt2:mistral7b,source_target_direction_entropy_gap,6,0.263999848444109,0.2571428571428571
gpt2:mistral7b,_z_neg_direction_rmse,6,-0.32559446716964574,-0.2571428571428571
gpt2:mistral7b,_z_neg_subspace_residual,6,-0.2680189300091576,0.2571428571428571
gpt2:mistral7b,_z_neg_pair_norm_direction_rmse,6,-0.3897167049459091,-0.2571428571428571
gpt2:mistral7b,_z_neg_direction_entropy_gap,6,-0.263999848444109,-0.2571428571428571
gpt2:mistral7b,combined_param_direction_score,6,0.0893584517576101,-0.2571428571428571
gpt2:mistral7b,pair_geometry_compatibility_score,6,-0.0015876797038076752,-0.2571428571428571
gpt2:mistral7b,prior_param_tier_jump,6,-0.37800995185654995,-0.20701966780270628
gpt2:mistral7b,combined_ratio_direction_score,6,-0.019191630914303957,-0.14285714285714285
gpt2:mistral7b,prior_target_param_b,6,0.3166507331643329,0.11595420713048969
gpt2:mistral7b,prior_log_param_ratio_target_over_source,6,0.24641774661515176,0.11595420713048969
gpt2:mistral7b,_z_prior_target_param_b,6,0.3166507331643329,0.11595420713048969
gpt2:mistral7b,_z_log_param_ratio,6,0.24641774661515184,0.11595420713048969
gpt2:mistral7b,combined_hidden_direction_score,6,0.3119731031297001,-0.02857142857142857
gpt2:qwen1.5b,diagnostic_target_direction_std_min,6,-0.6212607089583585,-0.9428571428571428
gpt2:qwen1.5b,prior_param_tier_jump,6,0.6658534757783203,0.6831300510639732
gpt2:qwen1.5b,prior_target_param_b,6,0.574140246500673,0.6767633692869746
gpt2:qwen1.5b,prior_log_param_ratio_target_over_source,6,0.46199796821987293,0.6767633692869746
gpt2:qwen1.5b,_z_prior_target_param_b,6,0.5741402465006729,0.6767633692869746
gpt2:qwen1.5b,_z_log_param_ratio,6,0.461997968219873,0.6767633692869746
gpt2:qwen1.5b,source_target_direction_dispersion_gap,6,-0.4021263018651167,-0.6571428571428571
gpt2:qwen1.5b,_z_neg_direction_dispersion_gap,6,0.4021263018651167,0.6571428571428571
gpt2:qwen1.5b,combined_hidden_source_quality_score,6,0.7039887821918768,0.6571428571428571
gpt2:qwen1.5b,combined_param_direction_score,6,0.44649783463303827,0.6571428571428571
gpt2:qwen1.5b,combined_ratio_direction_score,6,0.3666304203005354,0.6571428571428571
gpt2:qwen1.5b,target_magnitude_tail_frac,6,-0.5900446611725748,-0.6546536707079772
gpt2:qwen1.5b,_z_neg_target_magnitude_tail,6,0.5900446611725748,0.6546536707079772
gpt2:qwen1.5b,target_hidden_size,6,0.7042283623772303,0.6473388749701496
gpt2:qwen1.5b,abs_log_hidden_ratio,6,0.7329258491246532,0.6473388749701496
gpt2:qwen1.5b,_z_target_hidden_size,6,0.7042283623772303,0.6473388749701496
gpt2:qwen1.5b,target_direction_subspace_residual,6,0.6368028831608004,0.6
gpt2:qwen1.5b,source_native_nll,6,-0.29142359201596657,-0.6
gpt2:qwen1.5b,pair_normalized_direction_rmse,6,-0.2663219840108916,-0.6
gpt2:qwen1.5b,target_readability_energy,6,-0.674774492452149,-0.6
gpt2:qwen1.5b,source_target_top_anchor_overlap,6,-0.4805483999079761,-0.6
gpt2:qwen1.5b,source_target_direction_entropy_gap,6,-0.5012550491030203,-0.6
gpt2:qwen1.5b,_z_neg_subspace_residual,6,-0.6368028831608004,-0.6
gpt2:qwen1.5b,_z_neg_pair_norm_direction_rmse,6,0.26632198401089163,0.6
gpt2:qwen1.5b,_z_target_readability_energy,6,-0.6747744924521489,-0.6
gpt2:qwen1.5b,_z_top_anchor_overlap,6,-0.48054839990797604,-0.6
gpt2:qwen1.5b,_z_neg_direction_entropy_gap,6,0.5012550491030202,0.6
gpt2:qwen1.5b,_z_neg_source_native_nll,6,0.29142359201596313,0.6
gpt2:qwen1.5b,rel_direction_l1_to_target,6,-0.23540108825372333,-0.5428571428571428
gpt2:qwen1.5b,rel_direction_rmse_to_target,6,-0.2650207420105341,-0.5428571428571428
gpt2:qwen1.5b,capacity_normalized_direction_rmse,6,-0.294979322964947,-0.5428571428571428
gpt2:qwen1.5b,_z_neg_direction_rmse,6,0.2650207420105341,0.5428571428571428
gpt2:qwen1.5b,combined_hidden_js_score,6,0.6793668843559235,0.5428571428571428
gpt2:qwen1.5b,anchor_direction_js_to_target,6,-0.5612262538548388,-0.4857142857142857
