task,group,metric,n,top1_hit,regret_at_1,spearman,best_retention,prior_pick_retention
T1_select_source,qwen7b,memory_target_norm_gap,11,0,0.019828791778033428,0.08181818181818182,0.9911003169296715,0.9712715251516381
T1_select_source,qwen7b,anchor_direction_js_to_target,11,0,0.6124596455063669,-0.43636363636363634,0.9911003169296715,0.37864067142330465
T1_select_source,qwen7b,target_direction_subspace_residual,11,0,0.8026108567141047,-0.2727272727272727,0.9911003169296715,0.18848946021556678
T1_select_source,qwen7b,capacity_normalized_direction_rmse,11,0,0.15889926932402132,0.1,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,diagnostic_rel_direction_z2_mean,11,0,0.15889926932402132,0.08181818181818182,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,diagnostic_rel_magnitude_z_abs_mean,11,0,0.11716881676831037,0.13636363636363635,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,diagnostic_target_direction_std_mean,11,0,0.3428508775559178,-0.3727102613464498,0.9911003169296715,0.6482494393737537
T1_select_source,qwen7b,diagnostic_target_direction_std_min,11,0,0.019828791778033428,0.23094010767585033,0.9911003169296715,0.9712715251516381
T1_select_source,qwen7b,diagnostic_target_magnitude_std_mean,11,0,0.11716881676831037,-0.049040823861374976,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,diagnostic_target_magnitude_std_min,11,0,0.11716881676831037,-0.049040823861374976,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,source_native_nll,11,0,0.6124596455063669,-0.7636363636363637,0.9911003169296715,0.37864067142330465
T1_select_source,qwen7b,target_minus_source_nll,11,0,0.11716881676831037,0.7636363636363637,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,source_hidden_size,11,0,0.15889926932402132,-0.4531529472296166,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,abs_log_hidden_ratio,11,0,0.15889926932402132,-0.4531529472296166,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,prior_same_model_family,11,0,0.11716881676831037,0.17928429140015906,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,prior_cross_model_family,11,0,0.019828791778033428,-0.17928429140015906,0.9911003169296715,0.9712715251516381
T1_select_source,qwen7b,prior_source_param_b,11,0,0.15889926932402132,-0.524833453307831,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,prior_log_param_ratio_target_over_source,11,0,0.019828791778033428,0.524833453307831,0.9911003169296715,0.9712715251516381
T1_select_source,qwen7b,prior_param_tier_jump,11,0,0.019828791778033428,0.5249127500606671,0.9911003169296715,0.9712715251516381
T1_select_source,qwen7b,pair_normalized_direction_rmse,11,0,0.15889926932402132,0.07272727272727272,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,target_readability_z2_mean,11,0,0.15889926932402132,-0.00909090909090909,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,target_readability_tail_frac,11,0,0.047121566940015125,0.037219368415938835,0.9911003169296715,0.9439787499896564
T1_select_source,qwen7b,target_magnitude_tail_frac,11,0,0.11716881676831037,0.21968621277986813,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,target_readability_cross_entropy,11,0,0.11716881676831037,-0.03636363636363636,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,source_to_target_anchor_kl,11,0,0.6124596455063669,-0.43636363636363634,0.9911003169296715,0.37864067142330465
T1_select_source,qwen7b,target_readability_energy,11,0,0.11716881676831037,-0.35454545454545455,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,source_target_top_anchor_overlap,11,0,0.8026108567141047,-0.4818181818181818,0.9911003169296715,0.18848946021556678
T1_select_source,qwen7b,source_target_direction_entropy_gap,11,0,0.3428508775559178,-0.45454545454545453,0.9911003169296715,0.6482494393737537
T1_select_source,qwen7b,source_target_direction_dispersion_gap,11,0,0.11716881676831037,-0.09090909090909091,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,diagnostic_source_direction_entropy_mean,11,0,0.3428508775559178,-0.45454545454545453,0.9911003169296715,0.6482494393737537
T1_select_source,qwen7b,diagnostic_target_direction_entropy,11,0,0.019828791778033428,0.3825184261187248,0.9911003169296715,0.9712715251516381
T1_select_source,qwen7b,diagnostic_source_direction_std_mean,11,0,0.11716881676831037,-0.09090909090909091,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,_z_log_param_ratio,11,0,0.019828791778033428,0.524833453307831,0.9911003169296715,0.9712715251516381
T1_select_source,qwen7b,_z_neg_direction_rmse,11,0,0.15889926932402132,0.1,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,_z_neg_anchor_js,11,0,0.6124596455063669,-0.43636363636363634,0.9911003169296715,0.37864067142330465
T1_select_source,qwen7b,_z_neg_magnitude_rmse,11,0,0.019828791778033428,0.4636363636363636,0.9911003169296715,0.9712715251516381
T1_select_source,qwen7b,_z_neg_subspace_residual,11,0,0.8026108567141047,-0.2727272727272727,0.9911003169296715,0.18848946021556678
T1_select_source,qwen7b,_z_neg_pair_norm_direction_rmse,11,0,0.15889926932402132,0.07272727272727272,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,_z_neg_target_readability_z2,11,0,0.15889926932402132,-0.00909090909090909,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,_z_neg_target_readability_tail,11,0,0.047121566940015125,0.037219368415938835,0.9911003169296715,0.9439787499896564
T1_select_source,qwen7b,_z_neg_target_magnitude_tail,11,0,0.11716881676831037,0.21968621277986813,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,_z_neg_target_readability_ce,11,0,0.11716881676831037,-0.03636363636363636,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,_z_neg_source_to_target_kl,11,0,0.6124596455063669,-0.43636363636363634,0.9911003169296715,0.37864067142330465
T1_select_source,qwen7b,_z_target_readability_energy,11,0,0.11716881676831037,-0.35454545454545455,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,_z_top_anchor_overlap,11,0,0.8026108567141047,-0.4818181818181818,0.9911003169296715,0.18848946021556678
T1_select_source,qwen7b,_z_neg_direction_entropy_gap,11,0,0.3428508775559178,-0.45454545454545453,0.9911003169296715,0.6482494393737537
T1_select_source,qwen7b,_z_neg_direction_dispersion_gap,11,0,0.11716881676831037,-0.09090909090909091,0.9911003169296715,0.8739315001613611
T1_select_source,qwen7b,_z_neg_source_native_nll,11,0,0.6124596455063669,-0.7636363636363637,0.9911003169296715,0.37864067142330465
T1_select_source,qwen7b,combined_hidden_direction_score,11,0,0.15889926932402132,0.1,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,combined_hidden_js_score,11,0,0.6124596455063669,-0.43636363636363634,0.9911003169296715,0.37864067142330465
T1_select_source,qwen7b,combined_hidden_source_quality_score,11,0,0.6124596455063669,-0.7636363636363637,0.9911003169296715,0.37864067142330465
T1_select_source,qwen7b,combined_param_direction_score,11,0,0.15889926932402132,0.1,0.9911003169296715,0.8322010476056502
T1_select_source,qwen7b,combined_ratio_direction_score,11,0,0.019828791778033428,0.5545454545454546,0.9911003169296715,0.9712715251516381
T1_select_source,qwen7b,pair_geometry_compatibility_score,11,0,0.3428508775559178,0.0,0.9911003169296715,0.6482494393737537
T2_select_target,gpt2:llama1b,rel_direction_l1_to_target,6,1,0.0,0.7714285714285715,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,rel_direction_rmse_to_target,6,1,0.0,0.7714285714285715,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,rel_magnitude_l1_to_target,6,0,0.1310075185386237,-0.42857142857142855,0.9712715251516381,0.8402640066130144
T2_select_target,gpt2:llama1b,rel_magnitude_rmse_to_target,6,0,0.1310075185386237,-0.42857142857142855,0.9712715251516381,0.8402640066130144
T2_select_target,gpt2:llama1b,memory_target_norm_gap,6,0,0.9633047288273731,-0.7142857142857143,0.9712715251516381,0.007966796324265028
T2_select_target,gpt2:llama1b,anchor_direction_js_to_target,6,0,0.11672483230171116,0.6,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,target_direction_subspace_residual,6,0,0.1317674458646183,-0.7142857142857143,0.9712715251516381,0.8395040792870198
T2_select_target,gpt2:llama1b,capacity_normalized_direction_rmse,6,1,0.0,0.7714285714285715,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,diagnostic_rel_direction_z2_mean,6,1,0.0,0.7142857142857143,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,diagnostic_rel_magnitude_z_abs_mean,6,0,0.11672483230171116,0.9428571428571428,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,diagnostic_target_direction_std_mean,6,0,0.1317674458646183,-0.6,0.9712715251516381,0.8395040792870198
T2_select_target,gpt2:llama1b,diagnostic_target_direction_std_min,6,1,0.0,-0.02857142857142857,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,diagnostic_target_magnitude_std_mean,6,0,0.11672483230171116,0.9428571428571428,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,diagnostic_target_magnitude_std_min,6,0,0.11672483230171116,0.9428571428571428,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,target_text_nll,6,0,0.1310075185386237,0.37142857142857144,0.9712715251516381,0.8402640066130144
T2_select_target,gpt2:llama1b,source_native_nll,6,0,0.9633047288273731,-0.42857142857142855,0.9712715251516381,0.007966796324265028
T2_select_target,gpt2:llama1b,target_minus_source_nll,6,0,0.1310075185386237,0.37142857142857144,0.9712715251516381,0.8402640066130144
T2_select_target,gpt2:llama1b,target_hidden_size,6,0,0.11672483230171116,0.753702346348183,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,abs_log_hidden_ratio,6,0,0.9633047288273731,-0.8116794499134278,0.9712715251516381,0.007966796324265028
T2_select_target,gpt2:llama1b,prior_same_model_family,6,0,0.1317674458646183,0.20701966780270628,0.9712715251516381,0.8395040792870198
T2_select_target,gpt2:llama1b,prior_cross_model_family,6,0,0.1310075185386237,-0.20701966780270628,0.9712715251516381,0.8402640066130144
T2_select_target,gpt2:llama1b,prior_target_param_b,6,0,0.11672483230171116,0.7944613465542745,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,prior_log_param_ratio_target_over_source,6,0,0.11672483230171116,0.7944613465542745,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,prior_param_tier_jump,6,0,0.1317674458646183,0.3927922024247863,0.9712715251516381,0.8395040792870198
T2_select_target,gpt2:llama1b,pair_normalized_direction_rmse,6,1,0.0,0.7714285714285715,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,target_readability_z2_mean,6,1,0.0,0.7142857142857143,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,target_readability_tail_frac,6,1,0.0,0.7714285714285715,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,target_readability_cross_entropy,6,0,0.11672483230171116,0.6,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,source_to_target_anchor_kl,6,0,0.11672483230171116,0.6,0.9712715251516381,0.8545466928499269
