metric,tier,global_spearman,T1_mean_abs_spearman,T2_mean_abs_spearman
prior_source_param_b,other,-0.22260702778845348,0.2859074955650965,
diagnostic_source_direction_entropy_mean,other,-0.2172119254761917,0.333966033966034,0.3062048374635284
diagnostic_source_direction_std_mean,other,-0.12280573697592992,0.25694305694305697,0.2970290510682142
_z_neg_source_native_nll,other,-0.09703512082991649,0.5031968031968032,0.4612244897959184
_z_top_anchor_overlap,other,0.08879909743183115,0.19880119880119881,0.4389542772945933
abs_log_hidden_ratio,other,-0.07594488809989824,0.3582584231523954,0.7270619768029264
_z_target_readability_energy,other,0.06338944628688972,0.21618381618381619,0.5816326530612245
_z_neg_direction_dispersion_gap,other,0.033394903656437595,0.2457542457542458,0.5102040816326531
prior_cross_model_family,other,0.012359394529522612,0.31614864509076107,0.30548900628638115
_z_neg_magnitude_rmse,other,-0.005415389782125015,0.15574425574425574,0.42857142857142855
