metric,n_compressors,mean_pearson,median_pearson,mean_spearman,median_spearman,mean_abs_spearman,positive_spearman_compressors,negative_spearman_compressors
diagnostic_target_direction_std_min,14,-0.4644940024939981,-0.70037409050397,-0.4795918367346939,-0.5714285714285714,0.4836734693877551,1,12
combined_param_direction_score,14,0.6006498257760532,0.6315891620768479,0.4755102040816327,0.5142857142857142,0.4795918367346939,13,1
anchor_direction_js_to_target,14,-0.5374830478661935,-0.6125103462312396,-0.4510204081632653,-0.5428571428571428,0.4877551020408163,3,11
_z_neg_anchor_js,14,0.5374830478661935,0.6125103462312395,0.4510204081632653,0.5428571428571428,0.4877551020408163,11,3
source_to_target_anchor_kl,14,-0.5291366444849411,-0.5797982537263706,-0.44693877551020406,-0.5428571428571428,0.4836734693877551,3,11
_z_neg_source_to_target_kl,14,0.5291366444849411,0.5797982537263707,0.44693877551020406,0.5428571428571428,0.4836734693877551,11,3
pair_geometry_compatibility_score,14,0.3823833530805483,0.35626281925523784,0.4306122448979592,0.48571428571428565,0.4306122448979592,14,0
source_target_direction_entropy_gap,14,-0.37917455288270363,-0.3398008260031484,-0.42653061224489797,-0.5428571428571428,0.4510204081632653,2,11
_z_neg_direction_entropy_gap,14,0.3791745528827036,0.33980082600314854,0.42653061224489797,0.5428571428571428,0.4510204081632653,11,2
diagnostic_target_direction_entropy,14,0.5220441990024567,0.581039476133232,0.42040816326530617,0.5714285714285714,0.4571428571428572,11,3
target_readability_cross_entropy,14,-0.5270187541767059,-0.5739023089316572,-0.4204081632653061,-0.5428571428571428,0.45714285714285713,3,11
_z_neg_target_readability_ce,14,0.527018754176706,0.5739023089316573,0.4204081632653061,0.5428571428571428,0.45714285714285713,11,3
target_readability_tail_frac,14,-0.11172313532650904,-0.07679735408962537,-0.32545800970182803,-0.48571428571428565,0.4828244336646355,2,12
_z_neg_target_readability_tail,14,0.11172313532650906,0.07679735408962535,0.32545800970182803,0.48571428571428565,0.4828244336646355,12,2
target_text_nll,14,-0.24116196932117145,-0.23777804721779888,-0.27755102040816326,-0.2571428571428571,0.31428571428571433,3,11
target_minus_source_nll,14,-0.24230484628415275,-0.23777804721779888,-0.27755102040816326,-0.2571428571428571,0.31428571428571433,3,11
rel_magnitude_rmse_to_target,14,0.2595142514844156,0.36375688846039356,0.27346938775510204,0.34285714285714286,0.42857142857142855,12,2
_z_neg_magnitude_rmse,14,-0.2595142514844155,-0.36375688846039345,-0.27346938775510204,-0.34285714285714286,0.42857142857142855,2,12
diagnostic_rel_direction_z2_mean,14,-0.11120523672554723,-0.23117570731589726,-0.21020408163265308,-0.3142857142857143,0.37755102040816324,3,11
target_readability_z2_mean,14,-0.1111664733331328,-0.23107934246951026,-0.21020408163265308,-0.3142857142857143,0.37755102040816324,3,11
_z_neg_target_readability_z2,14,0.1111664733331328,0.23107934246951028,0.21020408163265308,0.3142857142857143,0.37755102040816324,11,3
source_native_nll,7,0.26447138055821157,0.6177406654842739,0.19183673469387755,0.37142857142857144,0.4612244897959184,4,3
_z_neg_source_native_nll,7,-0.2644713805582127,-0.6177406654842721,-0.19183673469387755,-0.37142857142857144,0.4612244897959184,3,4
target_readability_energy,14,0.01943553142871256,0.03694936464256783,-0.1285714285714286,-0.11428571428571428,0.5816326530612245,5,9
_z_target_readability_energy,14,0.019435531428712537,0.036949364642567845,-0.1285714285714286,-0.11428571428571428,0.5816326530612245,5,9
rel_magnitude_l1_to_target,14,0.23029734952154382,0.28813586373800804,0.11326530612244898,0.14285714285714285,0.34183673469387754,10,4
diagnostic_source_direction_entropy_mean,14,0.05863885497330918,0.009236959640264834,0.10793091409610012,0.16847910256711968,0.3062048374635284,9,5
prior_param_tier_jump,14,-0.020697767874908974,0.20095452288173957,0.09753964097293762,0.253546276418555,0.6003016913509386,8,6
abs_log_hidden_ratio,14,-0.1424491375839527,-0.6163777877980359,-0.0956714978360881,-0.5217939320872036,0.7270619768029264,6,8
diagnostic_source_direction_std_mean,14,0.0989698751764336,0.030305345703474953,-0.043588739422408096,-0.1988379396030655,0.2970290510682142,5,9
source_target_top_anchor_overlap,14,0.09005022428276646,0.05349519452056694,0.03079101198847084,0.08571428571428572,0.4389542772945933,8,6
_z_top_anchor_overlap,14,0.09005022428276645,0.05349519452056688,0.03079101198847084,0.08571428571428572,0.4389542772945933,8,6
prior_same_model_family,12,-0.008636672468649749,0.09582539841728799,0.029462782549439476,0.10350983390135314,0.30548900628638115,6,2
prior_cross_model_family,12,0.00863667246864974,-0.09582539841728797,-0.029462782549439476,-0.10350983390135314,0.30548900628638115,2,6
