pair,encoder,source,target,mem_tokens,method,origin_target_bleu,transfer_bleu,transfer_accuracy,transfer_retention
llama1b:llama8b->llama3b,llama1b,llama8b,llama3b,16,encoder_converter,0.84162,0.74474,0.976039,0.884888667094413
llama1b:llama8b->mistral7b,llama1b,llama8b,mistral7b,16,encoder_converter,0.696228,0.591517,0.922445,0.8496024290893213
llama1b:llama8b->qwen1.5b,llama1b,llama8b,qwen1.5b,16,encoder_converter,0.765626,0.140705,0.649273,0.18377771914746885
llama1b:llama8b->qwen3b,llama1b,llama8b,qwen3b,16,encoder_converter,0.806784,0.296968,0.748109,0.3680886085990798
llama1b:llama8b->qwen7b,llama1b,llama8b,qwen7b,16,encoder_converter,0.737776,0.678612,0.915297,0.9198076380906942
llama1b:mistral7b->llama1b,llama1b,mistral7b,llama1b,16,encoder_converter,0.83109,0.289368,0.80568,0.3481788975923185
llama1b:mistral7b->llama3b,llama1b,mistral7b,llama3b,16,encoder_converter,0.84162,0.642854,0.944406,0.7638292816235356
llama1b:mistral7b->llama8b,llama1b,mistral7b,llama8b,16,encoder_converter,0.837688,0.662829,0.961063,0.7912599917869183
llama1b:mistral7b->qwen1.5b,llama1b,mistral7b,qwen1.5b,16,encoder_converter,0.765626,0.16259,0.664164,0.2123621716085922
llama1b:mistral7b->qwen3b,llama1b,mistral7b,qwen3b,16,encoder_converter,0.806784,0.095786,0.557234,0.11872570601300968
llama1b:mistral7b->qwen7b,llama1b,mistral7b,qwen7b,16,encoder_converter,0.737776,0.494393,0.857281,0.6701126087050813
llama1b:qwen1.5b->llama1b,llama1b,qwen1.5b,llama1b,16,encoder_converter,0.83109,0.567696,0.923031,0.6830740353030358
llama1b:qwen1.5b->llama3b,llama1b,qwen1.5b,llama3b,16,encoder_converter,0.84162,0.70599,0.962117,0.8388465103015612
llama1b:qwen1.5b->llama8b,llama1b,qwen1.5b,llama8b,16,encoder_converter,0.837688,0.745852,0.975242,0.8903696841783575
llama1b:qwen1.5b->mistral7b,llama1b,qwen1.5b,mistral7b,16,encoder_converter,0.696228,0.320264,0.849023,0.45999873604623776
llama1b:qwen1.5b->qwen3b,llama1b,qwen1.5b,qwen3b,16,encoder_converter,0.806784,0.084096,0.577555,0.1042360780580676
llama1b:qwen1.5b->qwen7b,llama1b,qwen1.5b,qwen7b,16,encoder_converter,0.737776,0.674519,0.924055,0.914259883758756
llama1b:qwen3b->llama1b,llama1b,qwen3b,llama1b,16,encoder_converter,0.83109,0.291486,0.809797,0.35072735804786487
llama1b:qwen3b->llama3b,llama1b,qwen3b,llama3b,16,encoder_converter,0.84162,0.676416,0.944297,0.8037071362372568
llama1b:qwen3b->llama8b,llama1b,qwen3b,llama8b,16,encoder_converter,0.837688,0.727486,0.970547,0.8684450535282826
llama1b:qwen3b->mistral7b,llama1b,qwen3b,mistral7b,16,encoder_converter,0.696228,0.676176,0.952367,0.9711990899532912
llama1b:qwen3b->qwen1.5b,llama1b,qwen3b,qwen1.5b,16,encoder_converter,0.765626,0.33835,0.790867,0.44192595340283636
llama1b:qwen3b->qwen7b,llama1b,qwen3b,qwen7b,16,encoder_converter,0.737776,0.675839,0.914797,0.9160490446964932
llama1b:qwen7b->llama1b,llama1b,qwen7b,llama1b,16,encoder_converter,0.83109,0.659879,0.939219,0.7939922270752867
llama1b:qwen7b->llama3b,llama1b,qwen7b,llama3b,16,encoder_converter,0.84162,0.74728,0.970297,0.8879066562106415
llama1b:qwen7b->llama8b,llama1b,qwen7b,llama8b,16,encoder_converter,0.837688,0.797386,0.987453,0.9518890087956375
llama1b:qwen7b->mistral7b,llama1b,qwen7b,mistral7b,16,encoder_converter,0.696228,0.773262,0.979656,1.1106447887760906
llama1b:qwen7b->qwen1.5b,llama1b,qwen7b,qwen1.5b,16,encoder_converter,0.765626,0.377449,0.806328,0.49299396833440867
llama1b:qwen7b->qwen3b,llama1b,qwen7b,qwen3b,16,encoder_converter,0.806784,0.016567,0.468797,0.020534616452482946
