metric,n,controls,pearson_residual,spearman_residual
source_target_top_anchor_overlap,83,target,-0.07326395182392877,-0.060240963855421686
_z_top_anchor_overlap,83,target,-0.07326395182392877,-0.060240963855421686
source_target_direction_dispersion_gap,83,target,0.045457758330373105,0.04027958523991436
_z_neg_direction_dispersion_gap,83,target,-0.04545775833037312,-0.04027958523991436
combined_ratio_direction_score,83,target,0.01697667590190096,0.024789051677091643
target_magnitude_tail_frac,83,target,-0.09708993156222177,-0.023039297579786334
_z_neg_target_magnitude_tail,83,target,0.09708993156222176,0.023039297579786334
diagnostic_target_direction_std_mean,83,target,0.17716563870742183,0.016662046564230693
diagnostic_rel_magnitude_z_abs_mean,83,target,-0.03711359037560325,-0.014671928130641032
diagnostic_source_direction_entropy_mean,83,target,0.1176377474474262,-0.014105201292976785
target_readability_energy,83,target,-0.0235769408175323,-0.011208597456026195
_z_target_readability_energy,83,target,-0.023576940817532286,-0.011208597456026195
diagnostic_source_direction_std_mean,83,target,0.004931063715975501,-0.00774526678141136
abs_log_hidden_ratio,83,target,-0.011523585845166693,0.0070430030265349625
target_direction_subspace_residual,83,target,0.23387821833756214,0.0055203391965072835
_z_neg_subspace_residual,83,target,-0.23387821833756214,-0.0055203391965072835
rel_magnitude_l1_to_target,83,target+encoder,-0.3779830223677281,-0.3996893497334285
rel_magnitude_rmse_to_target,83,target+encoder,-0.36649951853645396,-0.3866336425842744
_z_neg_magnitude_rmse,83,target+encoder,0.36649951853645396,0.3866336425842744
source_target_direction_entropy_gap,83,target+encoder,0.1435975321523302,0.26948910625078715
_z_neg_direction_entropy_gap,83,target+encoder,-0.14359753215233018,-0.26948910625078715
prior_same_model_family,83,target+encoder,0.20153306611270908,0.2578061861704031
prior_cross_model_family,83,target+encoder,-0.2015330661127091,-0.2578061861704031
diagnostic_rel_direction_z2_mean,83,target+encoder,0.11320832773840457,0.24087989589018094
target_readability_z2_mean,83,target+encoder,0.11311314916306242,0.23792032240460098
_z_neg_target_readability_z2,83,target+encoder,-0.11311314916306243,-0.23792032240460098
target_readability_cross_entropy,83,target+encoder,0.16550643380573077,0.2084505268460602
_z_neg_target_readability_ce,83,target+encoder,-0.16550643380573077,-0.2084505268460602
anchor_direction_js_to_target,83,target+encoder,0.09972006325982576,0.2037907728474875
_z_neg_anchor_js,83,target+encoder,-0.09972006325982576,-0.2037907728474875
combined_hidden_js_score,83,target+encoder,-0.09972006325982574,-0.2037907728474875
prior_param_tier_jump,83,target+encoder,0.10011795230398352,0.1935550049740307
source_to_target_anchor_kl,83,target+encoder,0.11253823230210985,0.19314890222912556
_z_neg_source_to_target_kl,83,target+encoder,-0.11253823230210983,-0.19314890222912556
target_readability_tail_frac,83,target+encoder,0.1649305035098761,0.18085072889129244
_z_neg_target_readability_tail,83,target+encoder,-0.1649305035098761,-0.18085072889129244
source_native_nll,83,target+encoder,-0.09934399824361473,-0.1771756013601444
target_minus_source_nll,83,target+encoder,0.09934399824361473,0.1771756013601444
_z_neg_source_native_nll,83,target+encoder,0.09934399824361471,0.1771756013601444
combined_hidden_source_quality_score,83,target+encoder,0.09934399824361474,0.1771756013601444
rel_direction_rmse_to_target,83,target+encoder,0.1517941620166625,0.15276436757482892
_z_neg_direction_rmse,83,target+encoder,-0.15179416201666251,-0.15276436757482892
combined_hidden_direction_score,83,target+encoder,-0.15179416201666251,-0.15276436757482892
combined_param_direction_score,83,target+encoder,-0.15179416201666246,-0.15276436757482892
capacity_normalized_direction_rmse,83,target+encoder,0.15334103753017267,0.151609924016624
diagnostic_rel_magnitude_z_abs_mean,83,target+encoder,-0.09530417728066466,-0.1484404517022795
rel_direction_l1_to_target,83,target+encoder,0.15712393492587207,0.14831451240502078
prior_log_param_ratio_target_over_source,83,target+encoder,0.09322474628067706,0.12791746624392855
